Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Número de Plazas
1a;440394,55;4474280,53;23/06/2014;01  CENTRO;01-06 SOL;PUERTA DEL SOL, PLAZA, DE LA;1 B;24
1b;440404,21;4474287,39;23/06/2014;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;1;24
2;440134,83;4474678,23;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;MIGUEL MOYA, CALLE, DE;1;27
3;440012,98;4475760,68;23/06/2014;07  CHAMBERÍ;07-02 ARAPILES;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL;2;18
4;440396,4;4475565,36;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;3;27
5;440446,9;4475539,69;23/06/2014;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;106;27
6;440754,26;4475071,08;23/06/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;63;24
7;440811,97;4475187,49;23/06/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;75;21
8;441020,56;4475463,16;23/06/2014;07  CHAMBERÍ;07-04 ALMAGRO;ALONSO MARTINEZ, PLAZA, DE;6;24
9;439813,51;4474129,47;23/06/2014;01  CENTRO;01-01 PALACIO;SAN MIGUEL, PLAZA, DE;9;24
10;441292,12;4475204,43;23/06/2014;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;16;24
11;440314,86;4475395,19;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;20;27
12;440095,53;4475560,73;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;87;24
13;439733,78;4475434,65;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;22;27
14;439478,78;4475285,54;23/06/2014;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;VENTURA RODRIGUEZ, CALLE, DE;2;27
15;440006,72;4475294,52;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN VICENTE FERRER, CALLE, DE;62;21
16;439982,59;4474940,94;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;22;21
17;440263,35;4474964,43;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;CARLOS CAMBRONERO, PLAZA, DE;2;27
18;440653,13;4474711,92;23/06/2014;01  CENTRO;01-04 JUSTICIA;VAZQUEZ DE MELLA, PLAZA, DE;1;24
19;441008,01;4474818,09;23/06/2014;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;4;24
20a;441021,37;4474517,89;23/06/2014;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;24
20b;441034,93;4474520,74;23/06/2014;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;24
21a;440483,06;4474586,7;23/06/2014;01  CENTRO;01-06 SOL;RED DE SAN LUIS, PLAZA, DE LA;S/N;24
21b;440488,63;4474598,34;23/06/2014;01  CENTRO;01-06 SOL;RED DE SAN LUIS, PLAZA, DE LA;S/N;24
22;440064,4;4474630,53;23/06/2014;01  CENTRO;01-06 SOL;JACOMETREZO, CALLE, DE;1;24
23;439912,56;4474639,35;23/06/2014;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, CUESTA, DE;S/N;24
24;439715,67;4474384,75;23/06/2014;01  CENTRO;01-01 PALACIO;CARLOS III, CALLE, DE;1;24
25a;440104,48;4474318,99;23/06/2014;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;24
25b;440102,16;4474309,87;23/06/2014;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;24
26;441081,06;4475031,74;23/06/2014;01  CENTRO;01-04 JUSTICIA;SALESAS, PLAZA, DE LAS;8;24
27;440983,67;4473861,46;23/06/2014;01  CENTRO;01-03 CORTES;JESUS, CALLE, DE;1;24
28;440712,84;4474406,69;23/06/2014;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;25;24
29;440968,62;4474190,29;23/06/2014;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;25;24
30;439635,83;4474544,08;23/06/2014;01  CENTRO;01-01 PALACIO;PAVIA, CALLE, DE;6;27
31;440050,38;4474208,74;23/06/2014;01  CENTRO;01-06 SOL;MAYOR, CALLE;18;27
32;440090,59;4474042,64;23/06/2014;01  CENTRO;01-06 SOL;PROVINCIA, PLAZA, DE LA;1;24
33;440335,68;4474097,84;23/06/2014;01  CENTRO;01-06 SOL;CARRETAS, CALLE, DE LAS;10;24
34;440313,43;4473992,08;23/06/2014;01  CENTRO;01-03 CORTES;JACINTO BENAVENTE, PLAZA, DE;S/N;24
35;439730,93;4473970,93;23/06/2014;01  CENTRO;01-01 PALACIO;CORDON, CALLE, DEL;4;24
36;439626,96;4474272,13;23/06/2014;01  CENTRO;01-01 PALACIO;RAMALES, PLAZA, DE;1;24
37;439409,3;4473605,14;23/06/2014;01  CENTRO;01-01 PALACIO;VISTILLAS, TRAVESIA, DE LAS;S/N;24
