quarter,town,flat_type,price
2007-Q2,Ang Mo Kio,1-room,0
2007-Q2,Ang Mo Kio,2-room,-
2007-Q2,Ang Mo Kio,3-room,172000
2007-Q2,Ang Mo Kio,4-room,260000
2007-Q2,Ang Mo Kio,5-room,372000
2007-Q2,Ang Mo Kio,Executive,-
2007-Q2,Bedok,1-room,0
2007-Q2,Bedok,2-room,-
2007-Q2,Bedok,3-room,172000
2007-Q2,Bedok,4-room,224500
2007-Q2,Bedok,5-room,332000
2007-Q2,Bedok,Executive,420000
2007-Q2,Bishan,1-room,0
2007-Q2,Bishan,2-room,0
2007-Q2,Bishan,3-room,205000
2007-Q2,Bishan,4-room,311500
2007-Q2,Bishan,5-room,400000
2007-Q2,Bishan,Executive,475000
2007-Q2,Bukit Batok,1-room,0
2007-Q2,Bukit Batok,2-room,0
2007-Q2,Bukit Batok,3-room,160000
2007-Q2,Bukit Batok,4-room,234000
2007-Q2,Bukit Batok,5-room,358800
2007-Q2,Bukit Batok,Executive,370800
2007-Q2,Bukit Merah,1-room,-
2007-Q2,Bukit Merah,2-room,-
2007-Q2,Bukit Merah,3-room,200000
2007-Q2,Bukit Merah,4-room,371000
2007-Q2,Bukit Merah,5-room,474000
2007-Q2,Bukit Merah,Executive,0
2007-Q2,Bukit Panjang,1-room,0
2007-Q2,Bukit Panjang,2-room,0
2007-Q2,Bukit Panjang,3-room,155500
2007-Q2,Bukit Panjang,4-room,220500
2007-Q2,Bukit Panjang,5-room,280000
2007-Q2,Bukit Panjang,Executive,344000
2007-Q2,Bukit Timah,1-room,0
2007-Q2,Bukit Timah,2-room,0
2007-Q2,Bukit Timah,3-room,-
2007-Q2,Bukit Timah,4-room,-
2007-Q2,Bukit Timah,5-room,-
2007-Q2,Bukit Timah,Executive,-
2007-Q2,Central,1-room,0
2007-Q2,Central,2-room,-
2007-Q2,Central,3-room,246500
2007-Q2,Central,4-room,341000
2007-Q2,Central,5-room,436000
2007-Q2,Central,Executive,0
2007-Q2,Choa Chu Kang,1-room,0
2007-Q2,Choa Chu Kang,2-room,0
