quarter,type_of_property,availability,no_of_private_residential_properties
2013-Q4,Detached Houses,Available,10638
2013-Q4,Detached Houses,Vacant,371
2013-Q4,Semi-Detached Houses,Available,21538
2013-Q4,Semi-Detached Houses,Vacant,736
2013-Q4,Terrace Houses,Available,38873
2013-Q4,Terrace Houses,Vacant,1332
2013-Q4,Apartments,Available,73950
2013-Q4,Apartments,Vacant,5561
2013-Q4,Condominium Units,Available,144371
2013-Q4,Condominium Units,Vacant,10003
2014-Q1,Detached Houses,Available,10645
2014-Q1,Detached Houses,Vacant,380
2014-Q1,Semi-Detached Houses,Available,21593
2014-Q1,Semi-Detached Houses,Vacant,709
2014-Q1,Terrace Houses,Available,38887
2014-Q1,Terrace Houses,Vacant,1277
2014-Q1,Apartments,Available,75043
2014-Q1,Apartments,Vacant,6168
2014-Q1,Condominium Units,Available,147115
2014-Q1,Condominium Units,Vacant,10750
2014-Q2,Detached Houses,Available,10642
2014-Q2,Detached Houses,Vacant,367
2014-Q2,Semi-Detached Houses,Available,21699
2014-Q2,Semi-Detached Houses,Vacant,946
2014-Q2,Terrace Houses,Available,38970
2014-Q2,Terrace Houses,Vacant,1194
2014-Q2,Apartments,Available,76347
2014-Q2,Apartments,Vacant,7120
2014-Q2,Condominium Units,Available,150340
2014-Q2,Condominium Units,Vacant,11641
2014-Q3,Detached Houses,Available,10659
2014-Q3,Detached Houses,Vacant,372
2014-Q3,Semi-Detached Houses,Available,21717
2014-Q3,Semi-Detached Houses,Vacant,782
2014-Q3,Terrace Houses,Available,39095
2014-Q3,Terrace Houses,Vacant,1355
2014-Q3,Apartments,Available,78100
2014-Q3,Apartments,Vacant,7350
2014-Q3,Condominium Units,Available,152939
2014-Q3,Condominium Units,Vacant,11710
2014-Q4,Detached Houses,Available,10675
2014-Q4,Detached Houses,Vacant,395
2014-Q4,Semi-Detached Houses,Available,21733
2014-Q4,Semi-Detached Houses,Vacant,704
2014-Q4,Terrace Houses,Available,39132
2014-Q4,Terrace Houses,Vacant,1307
2014-Q4,Apartments,Available,80263
2014-Q4,Apartments,Vacant,8771
2014-Q4,Condominium Units,Available,157011
2014-Q4,Condominium Units,Vacant,12885
2015-Q1,Detached Houses,Available,10688
2015-Q1,Detached Houses,Vacant,385
2015-Q1,Semi-Detached Houses,Available,21791
2015-Q1,Semi-Detached Houses,Vacant,797
2015-Q1,Terrace Houses,Available,39176
2015-Q1,Terrace Houses,Vacant,1265
2015-Q1,Apartments,Available,81302
2015-Q1,Apartments,Vacant,8054
2015-Q1,Condominium Units,Available,158678
2015-Q1,Condominium Units,Vacant,11845
2015-Q2,Detached Houses,Available,10696
2015-Q2,Detached Houses,Vacant,388
2015-Q2,Semi-Detached Houses,Available,21817
2015-Q2,Semi-Detached Houses,Vacant,671
2015-Q2,Terrace Houses,Available,39186
2015-Q2,Terrace Houses,Vacant,1215
2015-Q2,Apartments,Available,83159
2015-Q2,Apartments,Vacant,7955
2015-Q2,Condominium Units,Available,163666
2015-Q2,Condominium Units,Vacant,14842
2015-Q3,Detached Houses,Available,10727
2015-Q3,Detached Houses,Vacant,369
2015-Q3,Semi-Detached Houses,Available,21884
2015-Q3,Semi-Detached Houses,Vacant,795
2015-Q3,Terrace Houses,Available,39215
2015-Q3,Terrace Houses,Vacant,1229
2015-Q3,Apartments,Available,84055
2015-Q3,Apartments,Vacant,7533
2015-Q3,Condominium Units,Available,166268
2015-Q3,Condominium Units,Vacant,15243
