start_year,end_year,flat_type,demand_for_flats
1960,1965,rental_flats,52408
1960,1965,home_ownership_flats,2967
1966,1970,rental_flats,66005
1966,1970,home_ownership_flats,40013
1971,1975,rental_flats,57034
1971,1975,home_ownership_flats,123213
1976,1980,rental_flats,47958
1976,1980,home_ownership_flats,141430
1981,1985,rental_flats,38628
1981,1985,home_ownership_flats,205502
1986,1990,rental_flats,15995
1986,1990,home_ownership_flats,194206
1991,1995,rental_flats,39200
1991,1995,home_ownership_flats,308454
1996,2000,rental_flats,27787
1996,2000,home_ownership_flats,129904
2001,2005,rental_flats,22968
2001,2005,home_ownership_flats,51052
2006,2010,rental_flats,20725
2006,2010,home_ownership_flats,64767
2011,2014,rental_flats,18417
2011,2014,home_ownership_flats,114207
