financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg
2008,Punggol,2-room,82000,107000,na,na
2008,Punggol,3-room,135000,211000,na,na
2008,Punggol,4-room,223000,327000,na,na
2008,Punggol,5-room,305000,428000,na,na
2008,Jurong West,3-room,142000,160000,na,na
2008,Jurong West,4-room,211000,253000,na,na
2008,Jurong West,5-room,229000,319000,na,na
2008,Bukit Panjang,2-room,82000,106000,na,na
2008,Bukit Panjang,3-room,138000,170000,na,na
2008,Bukit Panjang,4-room,211000,270000,na,na
2008,Woodlands,3-room,116000,164000,na,na
2008,Woodlands,4-room,184000,257000,na,na
2008,Woodlands,5-room,247000,296000,na,na
2008,Sengkang,2-room,73000,95000,na,na
2008,Sengkang,3-room,120000,162000,na,na
2008,Sengkang,4-room,190000,275000,na,na
2008,Sengkang,5-room,290000,367000,na,na
2009,Punggol,2-room,89000,114000,na,na
2009,Punggol,3-room,151000,188000,na,na
2009,Punggol,4-room,234000,322000,na,na
2009,Punggol,5-room,332000,409000,na,na
2009,Jurong West,2-room,86000,103000,na,na
2009,Jurong West,3-room,138000,173000,na,na
2009,Jurong West,4-room,223000,266000,na,na
2009,Choa Chu Kang,2-room,83000,104000,na,na
2009,Choa Chu Kang,3-room,128000,172000,na,na
2009,Choa Chu Kang,4-room,212000,275000,na,na
2009,Bukit Panjang,2-room,72000,94000,na,na
2009,Bukit Panjang,3-room,125000,157000,na,na
2009,Bukit Panjang,4-room,210000,250000,na,na
2009,Woodlands,3-room,141000,175000,na,na
2009,Woodlands,4-room,228000,288000,na,na
2009,Sengkang,2-room,74000,98000,na,na
2009,Sengkang,3-room,116000,171000,na,na
2009,Sengkang,4-room,203000,271000,na,na
2009,Sengkang,5-room,281000,352000,na,na
2010,Punggol,3-room,150000,237000,120000,207000
2010,Punggol,4-room,243000,376000,233000,366000
2010,Punggol,5-room,330000,458000,330000,458001
2010,Jurong West,3-room,168000,199000,138000,169000
2010,Jurong West,4-room,239000,325000,229000,315000
2010,Jurong West,5-room,298000,391000,298000,391000
2010,Bukit Panjang,2-room,83000,119000,23000,79000
2010,Bukit Panjang,3-room,143000,191000,113000,161000
2010,Bukit Panjang,4-room,226000,312000,216000,302000
2010,Bukit Panjang,5-room,298000,398000,298000,398000
