CÛdigo;;Nombre;Provincia
05;0013;Adanero;¡vila
05;0028;Adrada (La);¡vila
05;0052;Albornos;¡vila
05;0071;Aldeanueva de Santa Cruz;¡vila
05;0087;Aldeaseca;¡vila
05;0104;Aldehuela (La);¡vila
05;0126;Amavida;¡vila
05;0132;Arenal (El);¡vila
05;0147;Arenas de San Pedro;¡vila
05;0150;Arevalillo;¡vila
05;0163;ArÇvalo;¡vila
05;0179;Aveinte;¡vila
05;0185;Avellaneda;¡vila
05;0198;¡vila;¡vila
05;0219;Barco de ¡vila (El);¡vila
05;0224;Barraco (El);¡vila
05;0230;Barrom†n;¡vila
05;0245;Becedas;¡vila
05;0258;Becedillas;¡vila
05;0261;Bercial de Zapardiel;¡vila
05;0277;Berlanas (Las);¡vila
05;0296;Bernuy-Zapardiel;¡vila
05;0300;Berrocalejo de Aragona;¡vila
05;0338;Blascomill†n;¡vila
05;0343;BlasconuÒo de Matacabras;¡vila
05;0356;Blascosancho;¡vila
05;0369;BohodÛn (El);¡vila
05;0375;Bohoyo;¡vila
05;0381;Bonilla de la Sierra;¡vila
05;0394;Brabos;¡vila
05;0408;Bularros;¡vila
05;0415;Burgohondo;¡vila
05;0420;Cabezas de Alambre;¡vila
05;0436;Cabezas del Pozo;¡vila
05;0441;Cabezas del Villar;¡vila
05;0454;Cabizuela;¡vila
05;0467;Canales;¡vila
05;0473;Candeleda;¡vila
05;0489;Cantiveros;¡vila
05;0492;CardeÒosa;¡vila
05;0512;Carrera (La);¡vila
05;0527;Casas del Puerto;¡vila
05;0533;Casasola;¡vila
05;0548;Casavieja;¡vila
05;0551;Casillas;¡vila
05;0564;Castellanos de Zapardiel;¡vila
05;0570;Cebreros;¡vila
05;0586;Cepeda la Mora;¡vila
05;0678;ChamartÌn;¡vila
05;0599;Cill†n;¡vila
05;0603;Cisla;¡vila
05;0610;Colilla (La);¡vila
05;0625;Collado de Contreras;¡vila
05;0631;Collado del MirÛn;¡vila
05;0646;Constanzana;¡vila
05;0659;Crespos;¡vila
05;0662;Cuevas del Valle;¡vila
05;9035;Diego del Carpio;¡vila
