Fichero actualizado a fecha: 2016-11-06 02:18:16
Nombre del Organismo,Descripción,DatosPersonales,Dirección,Calle,CodigoPostal,Localidad,Localidad,SoloClasificar,Teléfono,Telefax oficial,Fax,e-mail,Páginas de internet,Posicion,Información adicional,Directorio Superior,Identificador Directorio Superior,Identificador,ultimaActualizacion,Enlace al contenido,
"Complejo Hospitalario de Soria",,,,,,,,,,,,,,,,"Gerencia de Atención Especializada de Soria","1207834303023",1142233557962,20160930,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233557962/DirectorioPadre",
"Adscrito a Soria I",,,"Avda. Mariano Vicén, 19 C.P. 42003 Soria (Soria)",,,,,,"975 222 715",,,,,,,"Centros de Día para Personas Mayores","1142233558189",1142233558240,20081128,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233558240/DirectorioPadre",
"A.E.A. de Fabero",,,"Pza. Poblado el Souto, s/n. C.P. 24420 Fabero (León)",,,,,,"987 550 056",,,,,,,"Aulas de Educación de Adultos","1142233528572",1142233528625,20081118,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233528625/DirectorioPadre",
"A.E.A. de La Bañeza",,,"C/ 18 de Julio, 4. C.P. 24750 La Bañeza (León)",,,,,,"987 641 679",,,,,,,"Aulas de Educación de Adultos","1142233528572",1142233528598,20081118,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233528598/DirectorioPadre",
"A.E.A. de La Robla",,,"C/ Emilia Menéndez, s/n. C.P. 24640 La Robla (León)",,,,,,"987 570 323",,,,,,,"Aulas de Educación de Adultos","1142233528572",1142233528679,20081118,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233528679/DirectorioPadre",
"A.E.A. de Lerma",,,"C/ Pozancos, 3, 1º dcha C.P.09340 Burgos (Burgos)",,,,,,"947 170 199",,,,,,,"Aulas de Educación de Adultos","1142233515455",1142233515512,20081117,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233515512/DirectorioPadre",
"A.E.A. de Merindades",,,"C/ San Roque, 42 C.P.09550 Villarcayo (Burgos)",,,,,,"947 130 194",,,,,,,"Aulas de Educación de Adultos","1142233515455",1142233515541,20081117,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233515541/DirectorioPadre",
"A.E.A. de Olleros de Sabero",,,"Pza. de Colominas, 5. C.P. 24811 Olleros de Sabero (León)",,,,,,"987 718 322",,,,,,,"Aulas de Educación de Adultos","1142233528572",1142233528652,20081118,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233528652/DirectorioPadre",
"A.E.A. de Roa",,,"C/ Corredera del Espolón, s/n C.P.09300 Roa (Burgos)",,,,,,"947 540 422",,,,,,,"Aulas de Educación de Adultos","1142233515455",1142233515599,20081117,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233515599/DirectorioPadre",
"A.E.A. de Sahagún de Campos",,,"C/ La Vega, 48. C.P. 24320 Sahagún de Campos (León)",,,,,,"987 781 297",,,,,,,"Aulas de Educación de Adultos","1142233528572",1142233528706,20081118,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233528706/DirectorioPadre",
"A.E.A. de Santa María del Páramo",,,"C/ Polideportivo, 2. C.P. 24240 Santa María del Páramo (León)",,,,,,"987 350 455",,,,,,,"Aulas de Educación de Adultos","1142233528572",1142233528733,20081118,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233528733/DirectorioPadre",
"A.E.A. de Trobajo del Camino",,,"C/ Eduardo Pastrana, s/n. C.P. 24010 Trobajo del Camino (León)",,,,,,,,,,,,,"Aulas de Educación de Adultos","1142233528572",1142233528760,20081118,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233528760/DirectorioPadre",
"A.E.A. de Valencia de Don Juan",,,"Ctra. de Valderas, 15. C.P. 24200 Valencia de Don Juan (León)",,,,,,"987 750 367",,,,,,,"Aulas de Educación de Adultos","1142233528572",1142233528787,20081118,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233528787/DirectorioPadre",
"A.E.A. de Villadiego",,,"C/ San Lorenzo, s/n C.P. 09120 Villadiego (Burgos)",,,,,,"947 360 590",,,,,,,"Aulas de Educación de Adultos","1142233515455",1142233515570,20081117,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233515570/DirectorioPadre",
"A.E.A. de Villalbilla",,,"C/ San Bruno, 13 - bajo C.P. 09007 Burgos (Burgos)",,,,,,"947 213 652",,,,,,,"Aulas de Educación de Adultos","1142233515455",1142233515483,20081117,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233515483/DirectorioPadre",
"A.E.A. Sierra. Avda. Infantes de Lara",,,"Palacio Municipal de Cultura C.P. 09600 Salas de los Infantes (Burgos)",,,,,,"947 380 774",,,,,,,"Aulas de Educación de Adultos","1142233515455",1142233515628,20081117,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233515628/DirectorioPadre",
