



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
4642625;"Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez";"";"";" 1 Campo de fútbol ";"Metro: Pan Bendito, San Francisco. Bus: 47 , 108 , 118 , 121 , 131 , 155.";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=06d068171cef4110VgnVCM1000000b205a0aRCRD";"ABRANTES";"AVENIDA";"V";"297";"";"";"";"";"MADRID";"MADRID";"28025";"ABRANTES";"CARABANCHEL";"437735";"4469834";"40.37480368698169";"-3.734643175737238";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"; 
4554452;"Instalación Deportiva Municipal Básica Alameda de Osuna I";"";"";"2 Pistas de Baloncesto";" Metro: El Capricho. Bus: 77 , 101 , 112 , 114 , 115 , 151. ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a3560735dead1110VgnVCM1000000b205a0aRCRD";"BALANDRO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28042";"ALAMEDA DE OSUNA";"BARAJAS";"450033";"4478219";"40.451251451000815";"-3.5905626839548366";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4555959;"Instalación Deportiva Municipal Básica Alas";"";"";" 1 Pista de fútbol sala 1 Pista de baloncesto 4 Pistas de petanca ";"Metro: Barajas Bus: 101 , 105 , 115 , 151";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d67d5c51350e1110VgnVCM1000000b205a0aRCRD";"ALAS";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28042";"TIMON";"BARAJAS";"450537";"4480524";"40.472046513237736";"-3.5847993053542355";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"; 
4557041;"Instalación Deportiva Municipal Básica Albaicín";"";"";" 1 Pista de baloncesto ";"Bus: 60 , 76 , 78 , 81 , 116.";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6e518d498a5e1110VgnVCM1000000b205a0aRCRD";"ALBAICIN";"CALLE";"V";"19";"";"";"";"Orcasur";"MADRID";"MADRID";"28041";"ORCASUR";"USERA";"440477";"4469068";"40.36818417178253";"-3.7023924767814074";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4557439;"Instalación Deportiva Municipal Básica Albaida";"";"";"1 Patinódromo";" Metro: Simancas , San Blas Bus :  38 , 48 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=040cbad143ae1110VgnVCM1000000b205a0aRCRD";"ALBAIDA";"CALLE";"V";"S/N";"";"";"";"Parque de San Blas";"MADRID";"MADRID";"28037";"HELLIN";"SAN BLAS-CANILLEJAS";"447522";"4475904";"40.430241502639134";"-3.619981910665231";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje"; 
4528002;"Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga";"";"";" 1 Pista de baloncesto ";" Metro: Valdezarza Bus :  64, 126, 127, 132 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4257664d01ef0110VgnVCM1000000b205a0aRCRD";"ALCALDE MARTIN DE ALZAGA";"CALLE";"V";"S/N";"";"";"";"";"MADRID";"MADRID";"28039";"VALDEZARZA";"MONCLOA-ARAVACA";"439396";"4479597";"40.46295611393323";"-3.7161291203374565";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4557476;"Instalación Deportiva Municipal Básica Alerce";"";"";" 1 Pista polideportiva ";"Bus :   23 , 76 , 78 , 116 , 123.";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=42ae586285ae1110VgnVCM1000000b205a0aRCRD";"ALERCE";"CALLE";"V";"31";"";"";"";"Junto M-40";"MADRID";"MADRID";"28041";"ORCASUR";"USERA";"441064";"4468717";"40.365063948772985";"-3.695446430865286";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4527220;"Instalación Deportiva Municipal Básica Alfonso XIII";"";"";" 2 Pistas de Baloncesto Pista de Patinaje Pista de Petanca ";"Bus: 7 , 11 , 40 , 52 , 87";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ea63124827ee0110VgnVCM1000000b205a0aRCRD";"ALFONSO XIII";"AVENIDA";"V";"136";"";"";"";"c/v Santa María Magdalena, 2";"MADRID";"MADRID";"28016";"NUEVA ESPAÑA";"CHAMARTIN";"443377";"4479227";"40.45990434942118";"-3.669142805075655";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje"; 
4556014;"Instalación Deportiva Municipal Básica Alhaurín";"";"";" 1 Pista de baloncesto 1 Campo de fútbol 7 (de tierra) ";" Metro: Barajas. Bus :  105 , 115 , 151. ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=acda62a9470e1110VgnVCM1000000b205a0aRCRD";"ALHAURIN";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28042";"TIMON";"BARAJAS";"450466";"4480687";"40.47351067334567";"-3.585649589064375";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4542702;"Instalación Deportiva Municipal Básica Alicún";"";"";"1 Pista de baloncesto.";"Metro: Manoteras Bus: 7 , 29 , 129 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4c4d7e93dee61110VgnVCM1000000b205a0aRCRD";"ALICUN";"CALLE";"V";"24";"";"";"";"";"MADRID";"MADRID";"28033";"APOSTOL SANTIAGO";"HORTALEZA";"444053";"4481394";"40.47947157886463";"-3.6613616462578946";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
