LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 3,3,2003,,81501,28849,9512,0,22759,22787,1654,13,1678,2295,14,393,0,3,1,2,0,9,0,2,1299,635,2116,247,130,0,0,327,32,677,56,0,10,1,1513,977,4378,43,96,1,0,11,8,25,3,0,0,0,13,1,20,0,0,0,0,6,0,75,8,1,0,3,2090,1210,5356,111,91,0,93,21493,19896,68854,377,824,0,15,3225,8045,5777,8325,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129040505.04500000000,62188.08214840000
WARD 2,2,2003,,73402,25022,5382,0,21248,18351,1174,0,2297,2800,309,85,0,0,0,1,4,1,0,8,2012,1095,3328,114,163,0,0,75,11,129,7,0,3,0,1129,801,2912,34,10,1,0,307,303,524,2,0,0,0,0,0,0,0,0,0,0,5,0,897,1,0,0,1,2594,1799,5877,81,124,0,20,17966,17239,59735,156,207,2,6,2996,7226,4727,8221,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52426086.08910000000,34528.46471570000
WARD 1,1,2003,,72300,28997,5581,0,20531,18453,1797,54,4372,3192,501,574,0,11,16,5,13,9,0,53,4062,983,6928,254,3,0,2,507,45,934,49,0,16,0,1741,1033,4421,49,2,5,1,478,449,1000,22,0,0,0,52,8,93,2,0,0,3,44,2,1524,6,0,1,7,2982,1671,6503,110,92,1,74,17464,16340,50897,286,627,2,54,5431,10176,4706,6442,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52409093.94800000000,39933.70899140000
WARD 4,4,2003,,71330,28603,4747,0,18316,16530,3225,90,2555,4215,310,1660,3,5,6,1,0,3,0,7,2392,372,3563,156,0,0,1,1402,85,2305,226,0,31,3,3120,1578,8363,91,10,1,0,303,291,538,7,0,0,0,80,9,144,10,0,0,0,14,3,309,4,0,0,4,4023,1791,9901,179,9,0,14,16220,14187,46207,291,5,0,18,6253,9416,5008,6166,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39561044.98540000000,30198.55448910000
WARD 7,7,2003,,60336,30518,2714,0,14559,14337,1496,238,10363,1642,0,2338,7,46,12,7,0,32,0,32,9629,1845,14213,468,234,0,3,1941,94,3121,279,3,112,3,1390,727,3232,58,42,3,0,0,0,0,0,0,0,0,220,14,347,12,6,6,1,76,4,2677,25,1,1,2,1543,874,2912,79,18,0,17,13865,11001,33834,387,65,3,104,10989,10765,3515,3158,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24373304.48050000000,33197.42991500000
WARD 6,6,2003,,66537,27929,5062,0,20263,15783,2481,46,5127,3908,4,571,0,0,2,6,0,1,0,7,4646,1961,7641,339,135,0,0,478,35,843,80,1,12,11,2349,1549,5488,89,29,3,0,2,1,4,2,0,0,0,46,1,124,0,0,0,0,8,0,681,1,0,0,2,3807,2724,7975,95,4,0,46,14757,13992,43781,282,695,3,9,6070,9408,4261,5776,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47397668.16870000000,31343.25744670000
WARD 9,9,2003,,54409,24416,3758,0,14084,13162,1916,8,4228,2651,358,2010,0,51,12,7,1,12,0,12,3718,982,5989,266,232,0,9,1659,123,2770,296,6,40,1,1853,950,5178,60,2,0,0,329,312,643,29,0,0,0,8,5,15,0,0,0,4,61,26,1043,15,1,2,6,2433,1236,5717,183,29,0,35,12655,10450,33054,448,19,5,83,6385,8264,3886,3694,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84234800.88620000000,48141.92640750000
WARD 8,8,2003,,63653,39112,2075,0,11822,7267,857,158,26506,2175,0,2002,27,81,14,8,0,17,0,172,24622,5138,37158,1334,363,15,26,1693,100,2539,224,3,56,3,799,312,1866,41,14,0,0,0,0,0,0,0,0,0,142,8,229,16,0,0,1,127,7,1265,17,1,1,10,2098,987,4132,49,17,1,50,6906,5270,16464,270,37,4,147,17818,13572,3013,1801,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14940746.56890000000,22991.49279950000
WARD 11,11,2003,,64424,28748,3548,0,18497,14944,2138,169,7207,3563,0,684,3,21,6,9,0,4,0,26,6316,1808,9379,621,235,9,4,566,32,905,84,1,29,6,2001,1161,4829,81,48,2,0,0,0,0,0,0,0,0,154,0,229,15,0,0,5,34,5,1190,3,0,1,8,3382,2213,6973,69,103,1,18,14527,13278,40919,325,68,6,43,7734,9925,3857,5024,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37708743.35100000000,31464.46041820000
WARD 12,12,2003,,70290,26947,6180,0,21955,20824,390,66,3523,1899,145,77,0,0,17,2,0,4,0,7,3264,805,5448,251,1,0,0,69,12,115,7,0,1,0,379,334,800,9,2,0,0,137,126,280,8,0,0,0,51,45,84,3,12,12,0,19,3,353,4,0,0,13,1776,1414,3822,40,70,0,69,20030,19216,59388,158,567,0,23,4379,9061,4836,6846,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102347967.50100000000,59462.99892820000
