NAME,CUSTOMERS,CLASS,COMM_CODE,SECTOR,SRG,COMM_STRUC
HAYSBORO,97,Residential,HAY,SOUTH,BUILT-OUT,1950s
DOVER,166,Residential,DOV,EAST,BUILT-OUT,1960s/1970s
13H,0,Residual Sub Area,13H,SOUTH,N/A,UNDEVELOPED
13E,0,Residual Sub Area,13E,SOUTH,N/A,UNDEVELOPED
02B,0,Residual Sub Area,02B,NORTH,N/A,UNDEVELOPED
13F,0,Residual Sub Area,13F,SOUTH,N/A,UNDEVELOPED
06A,0,Residual Sub Area,06A,WEST,N/A,UNDEVELOPED
03W,0,Residual Sub Area,03W,NORTH,N/A,OTHER
COVENTRY HILLS,70,Residential,COV,NORTH,BUILT-OUT,2000s
CARRINGTON,0,Residential,CAR,NORTH,DEVELOPING,BUILDING OUT
LIVINGSTON,0,Residential,LIV,NORTH,DEVELOPING,BUILDING OUT
01I,0,Residual Sub Area,01I,WEST,N/A,UNDEVELOPED
13A,0,Residual Sub Area,13A,SOUTH,N/A,UNDEVELOPED
13D,0,Residual Sub Area,13D,SOUTH,N/A,UNDEVELOPED
12I,0,Residual Sub Area,12I,SOUTHEAST,N/A,UNDEVELOPED
01E,0,Residual Sub Area,01E,WEST,N/A,UNDEVELOPED
01F,0,Residual Sub Area,01F,NORTHWEST,BUILT-OUT,2000s
05B,0,Residual Sub Area,05B,NORTHEAST,N/A,OTHER
HIGHLAND PARK,59,Residential,HPK,CENTRE,BUILT-OUT,1950s
BELTLINE,200,Residential,BLN,CENTRE,BUILT-OUT,CENTRE CITY
STONEY 4,0,Industrial,ST4,NORTHEAST,N/A,EMPLOYMENT
MANCHESTER INDUSTRIAL,0,Industrial,MNI,CENTRE,N/A,EMPLOYMENT
STONEY 2,0,Industrial,ST2,NORTHEAST,N/A,EMPLOYMENT
STARFIELD,0,Industrial,STD,EAST,N/A,EMPLOYMENT
SOUTHVIEW,68,Residential,SOV,EAST,BUILT-OUT,1950s
CFB - CURRIE,10,Residential,CFC,WEST,BUILT-OUT,BUILDING OUT
LOWER MOUNT ROYAL,89,Residential,LMR,CENTRE,BUILT-OUT,INNER CITY
SUNNYSIDE,19,Residential,SSD,CENTRE,BUILT-OUT,INNER CITY
CAPITOL HILL,85,Residential,CAP,CENTRE,BUILT-OUT,1950s
BANKVIEW,44,Residential,BNK,CENTRE,BUILT-OUT,INNER CITY
NORTH HAVEN UPPER,0,Residential,NHU,NORTH,BUILT-OUT,1960s/1970s
INGLEWOOD,69,Residential,ING,CENTRE,BUILT-OUT,INNER CITY
FAIRVIEW INDUSTRIAL,0,Industrial,FVI,SOUTH,N/A,EMPLOYMENT
OGDEN SHOPS,0,Industrial,OSH,EAST,N/A,EMPLOYMENT
EAST SHEPARD INDUSTRIAL,0,Industrial,ESH,SOUTHEAST,N/A,EMPLOYMENT
WESTWINDS,0,Industrial,WES,NORTHEAST,N/A,EMPLOYMENT
MISSION,62,Residential,MIS,CENTRE,BUILT-OUT,INNER CITY
GLENBROOK,125,Residential,GBK,WEST,BUILT-OUT,1950s
TUXEDO PARK,65,Residential,TUX,CENTRE,BUILT-OUT,INNER CITY
ST. ANDREWS HEIGHTS,262,Residential,STA,CENTRE,BUILT-OUT,1950s
ELBOW PARK,16,Residential,EPK,CENTRE,BUILT-OUT,INNER CITY
HORIZON,10,Industrial,HOR,NORTHEAST,N/A,EMPLOYMENT
NORTH AIRWAYS,0,Industrial,NAW,NORTHEAST,N/A,EMPLOYMENT
GREAT PLAINS,0,Industrial,GPI,EAST,N/A,EMPLOYMENT
SADDLE RIDGE INDUSTRIAL,0,Industrial,SRI,NORTHEAST,N/A,EMPLOYMENT
HIGHFIELD,0,Industrial,HIF,CENTRE,N/A,EMPLOYMENT
EAGLE RIDGE,16,Residential,EAG,SOUTH,BUILT-OUT,1960s/1970s
