CLASS,CLASS_CODE,COMM_CODE,NAME,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OBJECTID,SHAPE_AREA,SHAPE_LEN
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,2002,,6780,4701,118,0,188,2,0,1,4649,20,0,0,0,13,1,1,0,14,0,76,4398,177,6453,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,20,0,293,8,1,0,0,18,11,27,2,0,0,0,2,0,3,0,0,0,29,2728,1408,241,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1328196.32605000000,5320.32679637000
Residential,1,RCK,ROSSCARROCK,2002,,3371,1566,212,0,456,452,414,0,356,96,0,248,0,0,0,0,0,0,0,0,329,4,577,27,0,0,1,223,11,403,17,0,7,0,403,133,1103,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,6,241,1,0,0,2,432,302,1047,17,0,1,0,427,549,286,199,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1062185.38742000000,4400.46149522000
Residential,1,RED,RED CARPET,2002,,1581,731,89,0,536,0,0,0,214,0,517,0,0,0,0,0,0,0,0,0,214,205,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,331,1203,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,303,133,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,556481.53217500000,3605.85461473000
Residential,1,SSW,SCARBORO/ SUNALTA WEST,2002,,386,165,22,0,153,164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,153,385,3,0,0,0,40,66,26,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,352717.34377600000,2632.17604815000
Residential,1,CHR,CHRISTIE PARK,2002,,2360,728,144,0,686,476,94,0,0,156,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,92,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,201,0,0,0,0,154,137,290,2,0,0,0,475,457,1681,1,0,0,2,97,233,95,278,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,814916.97575000000,4749.80002464000
Residential,1,FLN,FOREST LAWN,2002,,8193,3250,671,0,1249,1419,304,6,235,725,52,502,0,2,3,0,2,0,0,0,215,5,404,14,6,0,1,427,24,881,59,0,15,0,294,101,929,10,0,0,1,46,35,60,5,0,0,0,0,0,0,0,6,6,2,5,2,18,0,0,0,0,700,58,1997,25,0,0,3,1381,1024,3904,31,2,2,7,626,1075,613,612,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,2316952.05520000000,6519.79488003000
Residential,1,ING,INGLEWOOD,2002,,3153,1802,180,0,968,815,112,0,336,342,0,165,0,26,4,0,0,2,0,1,248,49,291,23,64,0,1,150,17,240,11,0,3,0,111,62,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,15,61,6,0,0,3,274,214,580,12,53,0,8,780,611,1737,21,6,0,32,593,635,208,137,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2497530.42252000000,9655.59508327000
Residential,1,CON,CONNAUGHT,2002,,12031,8041,229,0,1726,87,8,4,7587,275,0,56,10,11,0,1,0,2,0,82,7228,1537,11175,267,9,1,3,44,0,78,7,2,0,0,8,3,16,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,21,2,226,3,0,0,5,225,166,375,6,39,0,8,68,18,157,10,1,0,24,4076,2984,372,151,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,1213888.94837000000,4746.94779306000
Residential,1,VIC,VICTORIA PARK,2002,,5364,3222,107,0,564,127,6,1,2873,54,0,102,15,34,1,1,0,8,0,17,2670,512,4055,185,1,0,3,82,0,110,17,0,0,1,5,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,53,1,834,6,0,0,7,46,17,100,1,0,0,9,107,33,255,11,0,0,59,1724,932,202,74,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1730558.60726000000,6364.76832624000
Residential,1,SIG,SIGNAL HILL,2002,,12990,5002,1227,0,4543,3218,394,0,971,415,0,3,0,0,0,1,0,0,0,5,888,818,1215,21,57,0,0,2,1,5,1,0,0,2,347,335,672,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,0,2,391,324,735,5,17,0,5,3126,3065,10315,21,66,0,1,979,1517,765,1359,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,5549008.54657000000,10625.64936500000
Residential,1,GDL,GLENDALE,2002,,2838,1105,177,0,907,960,0,0,108,24,0,13,0,0,0,0,0,0,0,0,108,0,159,0,0,0,0,11,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,40,0,0,0,0,956,882,2619,4,0,0,0,255,394,157,257,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1363694.57065000000,5283.55304776000
Residential,1,RIC,RICHMOND,2002,,4106,2054,239,0,1079,1246,173,12,285,74,0,263,0,1,0,0,0,0,0,0,276,17,396,8,0,1,2,226,10,366,30,0,5,0,168,75,379,5,0,0,0,0,0,0,0,0,0,0,11,4,22,1,0,0,0,0,0,0,1,0,0,0,68,24,149,0,6,0,2,1217,949,2794,20,7,0,1,656,792,287,214,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,1793845.22118000000,6460.12154782000
Residual Sub Area,4,09E,09E,2002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,9662552.07672000000,13122.35319850000
Residential,1,SSD,SUNNYSIDE,2002,,3718,2352,108,0,643,542,34,12,1467,183,0,109,0,5,0,0,0,0,0,2,1412,171,2023,21,32,0,0,102,5,134,5,0,2,0,32,17,69,0,2,0,0,0,0,0,0,0,0,0,10,1,18,0,0,0,0,5,0,8,0,0,0,1,181,113,353,1,0,0,1,528,336,1113,11,1,1,5,1178,843,165,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,1022159.44095000000,5851.89757554000
Residential,1,EAU,EAU CLAIRE,2002,,1463,923,58,0,479,1,0,0,897,23,0,0,0,1,0,0,0,1,0,13,849,469,1420,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,23,10,39,0,0,0,0,1,0,1,0,0,0,2,400,395,54,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,516128.40307600000,3222.41055404000
Residential,1,CHN,CHINATOWN,2002,,1256,760,37,0,99,0,0,0,759,0,0,0,1,0,0,0,0,0,0,5,742,99,1244,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398,249,61,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,247521.36772500000,2670.45188022000
Residential,1,SPR,SPRUCE CLIFF,2002,,2925,1494,209,0,455,323,85,0,899,124,0,61,0,0,0,1,0,1,0,1,720,134,1185,157,21,0,0,43,3,69,18,0,0,0,84,33,208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,248,1,0,0,0,119,22,470,5,0,0,2,311,263,745,9,1,0,2,514,441,146,139,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1081195.87532000000,4697.20003339000
Residential,1,SHG,SHAGANAPPI,2002,,1662,851,77,0,350,395,75,2,158,135,0,83,0,0,3,0,0,0,0,0,155,11,220,3,0,0,1,73,4,113,6,0,3,0,73,18,182,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,18,1,0,0,0,131,19,203,4,0,0,2,385,298,922,5,3,0,3,319,310,98,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1481735.92688000000,5717.87718806000
Residential,1,WGT,WESTGATE,2002,,3285,1362,189,0,1020,923,54,0,166,191,0,28,0,0,0,0,0,0,0,1,153,75,260,12,0,0,0,20,2,35,8,0,0,0,54,26,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,60,465,1,0,0,0,914,857,2407,9,0,0,0,288,535,223,265,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1150955.37980000000,4551.65739338000
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,2002,,6312,2548,501,0,924,937,425,21,500,335,0,330,0,0,0,0,0,0,0,0,476,23,851,24,0,0,0,287,13,583,41,0,2,1,411,169,1281,12,1,0,0,0,0,0,0,0,0,0,19,5,49,2,0,0,0,0,0,0,0,0,0,1,293,1,888,41,0,0,1,919,713,2660,17,0,0,0,548,822,465,456,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,2506051.21200000000,8228.05994145000
Residential,1,DNW,DOWNTOWN WEST END,2002,,1030,1126,11,0,429,13,0,0,1105,0,0,5,1,0,0,0,0,2,0,10,657,429,990,55,383,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,1,0,0,0,0,0,0,0,0,0,3,8,0,22,2,0,0,3,366,270,24,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,364474.47712500000,2810.23247482000
Residual Sub Area,4,01E,01E,2002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,492897.51687400000,3058.27619041000
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,2002,,3723,1747,151,0,1049,874,214,2,127,130,183,213,0,0,2,1,0,1,0,0,125,1,140,2,0,0,0,180,14,290,26,0,7,0,210,98,523,4,0,0,0,176,167,300,7,0,0,0,2,0,3,0,0,0,0,2,0,293,2,0,0,0,127,105,300,3,0,0,0,845,664,1874,25,4,0,4,575,682,217,177,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,3013875.23275000000,8243.81029693000
Residential,1,BNF,BANFF TRAIL,2002,,3628,1699,126,0,789,1059,133,0,60,6,0,425,1,1,2,0,0,12,0,0,57,4,88,3,0,0,0,395,17,702,27,0,3,0,125,38,314,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,31,7,0,0,0,4,0,9,0,2,0,1,1043,730,2484,13,1,1,16,467,669,274,200,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1451678.90162000000,5868.85466479000
