CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUC,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residual Sub Area,4,12I,12I,SOUTHEAST,N/A,UNDEVELOPED,2010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6034686.256,12544.52626
Residual Sub Area,4,09E,09E,EAST,N/A,OTHER,2010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9662316.243,13122.49334
Residual Sub Area,4,13F,13F,SOUTH,N/A,UNDEVELOPED,2010,,22,12,2,14,0,5,7,6,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,21,4,0,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679099.144,6554.983883
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,CENTRE,BUILT-OUT,1950s,2010,,3661,1856,181,2505,0,1040,481,457,865,272,0,127,166,183,238,0,2,1,1,0,1,0,0,122,0,130,5,0,0,0,165,10,242,58,0,15,0,253,144,583,16,2,1,0,171,158,283,12,0,0,0,0,0,0,0,0,0,0,4,0,299,1,0,0,0,159,129,356,7,0,0,0,812,599,1768,37,12,4,5,651,634,232,154,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013962.838,8242.932475
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,BUILT-OUT,1960s/1970s,2010,,11761,4336,849,7282,0,3113,1486,1090,2601,922,7,37,639,0,130,0,0,0,0,0,0,0,0,27,6,57,10,0,0,0,104,12,192,22,0,4,1,883,585,2378,36,0,2,0,0,0,0,0,0,0,0,7,4,16,0,0,0,0,0,0,0,0,0,0,0,614,323,1539,25,0,0,0,2548,2183,7579,51,0,2,0,679,1354,938,1051,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3203986.993,9407.095144
Residential,1,HUN,HUNTINGTON HILLS,NORTH,BUILT-OUT,1960s/1970s,2010,,13411,5568,885,8842,0,3443,1636,1534,2955,557,4,527,1214,126,185,0,0,0,0,0,0,0,0,494,213,783,33,0,0,0,131,10,245,29,0,25,0,524,205,1449,29,0,4,0,123,117,240,1,0,2,0,4,0,9,0,0,0,0,0,0,0,0,0,0,1,1127,333,2736,86,0,0,2,2899,2565,7949,51,0,3,0,1240,1893,970,1058,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4766220.145,10144.08272
Residential,1,MON,MONTGOMERY,NORTHWEST,BUILT-OUT,1950s,2010,,3705,1775,202,2598,0,851,526,516,1066,345,0,97,61,0,191,0,7,1,2,0,5,0,0,40,0,50,3,54,0,0,154,12,284,24,0,13,0,313,176,763,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,255,3,0,2,0,61,4,168,0,0,0,5,974,659,2185,81,4,2,15,453,621,248,208,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2951500.785,7352.529293
Residential,1,OGD,OGDEN,SOUTHEAST,BUILT-OUT,1950s,2010,,8554,3875,572,5958,0,2231,1542,1357,2164,505,0,331,550,0,316,0,4,2,1,0,2,0,0,301,0,542,30,0,0,0,228,21,371,43,0,45,0,472,244,1221,25,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,122,1,0,0,1,529,246,1219,20,0,0,5,2088,1719,5079,61,4,6,9,996,1362,662,523,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096375.001,8861.373596
Residential,1,MRT,MARTINDALE,NORTHEAST,BUILT-OUT,1980s/1990s,2010,,12968,3832,1544,5828,0,2937,1036,747,3475,52,0,0,149,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,9,316,31,0,0,0,51,37,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,131,322,6,0,0,4,3332,2760,12169,119,19,1,0,321,804,754,1317,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716744.349,6713.933641
Residential,1,UNI,UNIVERSITY HEIGHTS,NORTHWEST,BUILT-OUT,1960s/1970s,2010,,3006,1379,143,1526,0,422,190,149,431,41,0,873,12,0,21,0,0,1,0,0,0,0,1,851,14,1642,20,0,1,0,17,2,39,0,0,4,0,40,6,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,10,0,30,2,0,0,0,428,399,1169,3,0,0,1,385,538,226,181,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811616.8032,4021.407469
