CALGIS_CEN,LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
0,WARD 13,13,2007,,80352,31117,6329,51022,1,25220,22202,1528,36,3446,3708,9,180,1,0,2,3,1,1,0,12,2930,2003,4841,64,429,11,0,138,20,275,4,0,38,6,1339,980,3174,17,158,8,0,9,4,14,0,0,0,0,36,21,49,0,0,0,1,6,1,283,0,0,1,2,3550,2378,7650,84,62,10,59,21036,19813,64066,207,854,46,8,4806,9799,5968,7665,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70126386.12790000000,50510.80234900000
0,WARD 3,3,2007,,99247,34372,11286,54947,0,26505,26380,1936,113,2606,2692,8,620,0,2,1,2,0,12,0,7,2296,1355,3706,30,255,18,0,510,31,1086,23,0,87,17,1769,1168,5116,42,103,5,0,6,3,11,1,0,1,0,15,0,30,1,97,97,0,9,0,207,0,1,7,6,2438,1472,6090,51,191,6,54,24864,22476,83001,413,1004,45,17,4261,9094,6510,9860,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124734922.13400000000,62045.44501540000
0,WARD 2,2,2007,,77687,26587,4918,49779,0,22719,19824,1211,1,2336,2802,309,99,0,0,0,2,3,0,0,7,2285,1267,3752,39,0,5,0,85,16,162,3,0,11,0,1195,845,2912,12,0,4,1,307,302,512,1,0,0,0,1,0,2,0,0,0,0,5,0,1200,0,0,0,1,2732,1862,6271,66,0,3,15,19375,18427,62876,178,227,29,5,3566,7970,5189,8361,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52464879.74880000000,34416.44054090000
0,WARD 4,4,2007,,73207,28385,4892,47696,0,19573,17880,2910,86,1922,4188,126,1266,0,3,3,0,0,1,0,3,1787,369,2761,77,37,18,4,1023,39,1703,28,0,211,2,2805,1509,7348,65,29,9,0,124,115,245,2,0,0,0,86,7,139,0,0,0,1,5,1,13,0,0,1,1,4088,1897,9863,88,1,10,12,17579,15636,51135,249,5,35,7,5641,9096,5387,6573,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39175957.10720000000,33842.09380130000
0,WARD 1,1,2007,,89568,35865,7492,57753,1,26421,23258,2150,65,5098,4111,502,629,6,10,10,5,13,8,0,22,4740,1510,7764,169,138,29,0,530,35,923,24,3,72,2,2008,1195,4951,39,86,15,0,490,458,992,12,0,0,0,65,8,113,0,0,0,1,44,0,1600,0,0,7,2,3945,2491,8113,55,83,26,49,22234,20724,65112,362,553,60,52,7106,12239,5979,8002,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53293413.94630000000,44161.90263500000
0,WARD 5,5,2007,,60462,19235,4543,35091,0,14133,12720,2078,0,989,2457,277,701,2,0,1,2,0,8,0,1,962,318,1561,26,0,0,0,555,35,1184,21,0,125,1,2030,1357,6054,47,0,0,0,273,271,472,3,0,1,0,0,0,0,0,0,0,0,9,1,292,0,0,4,3,2399,1151,6314,50,0,5,1,12463,11000,44585,217,2,37,13,2412,5206,3731,5576,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22865665.13190000000,22045.88059970000
0,WARD 7,7,2007,,61273,32031,2606,39420,5,15022,14122,1873,254,11573,1722,0,2380,6,50,9,7,1,34,0,147,10004,2596,14736,592,543,287,11,1979,80,3139,64,12,314,1,1713,1008,4036,53,90,16,0,0,0,0,0,0,0,0,253,16,391,1,0,0,2,75,6,3073,8,0,22,6,1661,994,3083,33,20,2,36,13440,10322,32815,381,187,78,107,11431,10764,3490,3191,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24373302.72210000000,33197.45193230000
0,WARD 9,9,2007,,62364,29771,3823,40525,0,16556,15119,2563,36,5613,3182,546,2605,5,63,14,10,1,14,0,29,5243,1772,7965,213,78,50,7,2102,103,3384,68,6,422,6,2447,1249,6447,51,38,21,0,525,500,950,2,0,19,0,29,5,54,1,3,3,8,80,19,1610,7,0,12,7,2919,1576,6525,111,28,117,71,14339,11332,35429,343,87,279,107,9070,10283,4258,3523,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88886676.72630000000,53131.08013090000
0,WARD 6,6,2007,,80723,33986,6497,51998,2,25080,19555,2825,46,6641,4313,1,597,0,0,1,6,0,1,0,22,5357,2809,8489,540,705,17,3,481,21,841,13,0,100,7,2692,1816,6125,46,57,23,0,1,0,2,0,0,0,0,46,2,137,0,0,0,0,8,0,682,0,0,0,4,4086,2964,8501,82,119,22,33,18525,17468,55946,315,653,29,8,7299,10569,5211,7389,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47397672.01350000000,31343.26359540000
0,WARD 10,10,2007,,57057,21013,4406,32756,0,12802,11179,1943,26,2130,3324,823,1566,1,11,4,1,3,2,0,1,2012,550,3603,51,63,3,4,1240,50,2380,37,0,285,1,1873,999,5758,50,6,13,1,802,619,1716,18,0,2,0,26,8,59,0,0,0,1,20,7,333,0,0,1,4,3214,1589,9079,93,1,12,8,10947,8980,34129,190,5,29,22,3665,6583,4054,4729,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21197881.38380000000,22163.89886310000
