LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 2,2,2010,,69961,24552,5893,43074,0,20587,7379,4579,19106,830,0,1803,2406,312,89,0,0,1,1,4,0,0,5,1607,1077,2618,111,80,0,0,72,8,120,11,0,6,2,779,651,1717,26,23,0,1,302,297,495,9,0,0,0,0,0,0,0,0,0,0,5,0,1221,0,0,1,2,2286,1633,5132,79,38,1,51,18209,16921,58658,290,541,15,6,3171,7127,4704,7370,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69004670.34,40405.5573
WARD 11,11,2010,,77818,36087,4563,52623,0,22986,9115,6965,17786,2691,238,9519,5052,0,754,1,16,12,12,0,6,0,27,8430,2762,13006,695,338,29,3,583,27,947,125,2,41,0,2536,1537,5836,113,36,6,0,0,0,0,0,0,0,0,229,35,410,9,0,0,2,39,4,1522,6,0,0,4,4839,3210,10255,194,13,2,12,17188,15411,45842,476,79,31,47,10490,12420,5032,5443,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42506254.68,29982.29445
WARD 6,6,2010,,75642,29952,6762,47776,0,23504,7751,5378,17930,2243,49,4885,4568,0,270,0,0,1,5,1,0,0,15,4665,2590,7348,201,1,3,0,186,14,323,56,1,27,8,2134,1634,4737,60,39,2,0,0,0,0,0,0,0,0,47,3,109,2,0,0,0,7,0,454,0,0,0,9,4175,3184,8506,170,160,54,22,17222,16079,54165,319,345,22,7,6340,9186,4784,7368,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40707000.78,28043.12055
WARD 12,12,2010,,67438,25588,7891,42353,0,21274,11214,6424,20756,1229,13,1446,2046,6,18,0,0,70,2,0,2,0,8,1349,994,2252,70,19,0,1,15,0,30,1,0,1,13,1014,879,2253,16,185,1,0,4,2,9,2,0,0,0,13,5,34,0,0,0,1,60,2,368,12,0,1,13,1876,1397,3805,68,85,4,96,19368,17995,58687,337,941,14,74,3263,8016,4975,6831,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124581204.4,56231.00162
WARD 1,1,2010,,83009,33122,6947,53153,0,23783,10603,7321,20936,2063,65,5008,3728,503,764,6,10,10,6,13,10,0,11,4746,1367,8056,194,54,3,1,624,51,1130,79,1,59,0,1961,1151,4688,81,17,4,0,482,461,943,21,0,0,0,61,7,97,4,0,0,1,44,3,1518,7,1,2,0,3542,2070,7393,183,0,3,14,20434,18673,59184,408,69,11,55,7035,11375,5403,7423,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58851485.91,55287.53472
WARD 10,10,2010,,73446,29216,5936,43595,0,16710,8895,7603,15797,2533,53,3143,4131,1038,2486,0,20,6,2,3,4,0,4,2831,808,5025,308,0,0,2,1716,147,3257,439,0,329,4,2356,1144,6821,166,1,6,0,993,867,1965,42,0,3,0,42,6,92,6,5,5,0,32,9,435,3,0,0,2,3764,1552,10626,364,1,0,9,15244,12177,45225,509,8,27,35,5675,9101,5037,5854,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55711700.79,36272.42618
WARD 5,5,2010,,77506,25929,6609,43494,0,16965,7123,5622,16416,2870,1,1421,3425,302,1470,2,1,1,3,1,16,0,2,1250,353,2281,169,0,0,0,1057,65,2333,260,0,153,1,2708,1684,8098,152,0,9,0,287,282,514,6,9,0,0,1,0,1,0,0,0,1,16,2,408,6,1,0,3,3263,1446,9140,156,0,3,7,15830,13133,54731,553,2,24,24,3334,7013,4866,7011,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34562082.5,26996.89658
WARD 13,13,2010,,79467,29618,6789,49854,0,24470,9658,6464,21287,1183,3,3781,3210,3,141,0,1,4,3,1,1,0,7,3120,2061,5413,219,259,176,0,102,12,177,23,0,16,1,1138,949,2545,26,18,0,0,1,0,4,2,0,0,0,3,3,8,0,0,0,0,8,1,494,0,0,2,2,3037,2168,6557,158,12,1,12,20873,19276,64269,310,83,9,10,4632,9355,5773,7609,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51500785.44,35555.627
WARD 14,14,2010,,69941,26131,4690,46995,0,21422,10604,6327,19914,1410,17,2197,2468,4,110,1,0,2,4,0,4,0,5,2054,1018,3120,136,0,2,0,88,12,156,11,0,11,9,1349,1073,3305,37,15,0,2,2,2,3,0,0,0,0,16,0,36,1,0,0,0,7,1,640,4,0,0,5,2252,1349,5105,184,23,4,35,19273,17967,57576,298,290,18,11,3987,8846,4618,6905,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,68083126.41,45774.49224
WARD 7,7,2010,,76437,39629,3891,48862,0,18733,7028,6672,17586,2795,291,13343,2641,0,2824,5,87,11,9,2,35,0,73,11174,2982,16649,945,838,313,12,2077,63,3238,447,3,285,4,2559,1429,6189,169,52,11,0,0,0,0,0,0,0,1,264,13,391,26,0,0,1,71,8,3564,17,41,19,4,2472,1277,5180,126,35,4,52,16636,12961,41226,730,108,60,149,13048,12939,4576,4375,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30854699.17,36443.47875
