lon,lat,FID,DISTRITO,NOMBRE,DIRECCION,TELEFONO,WEB,Fotos
-5.971563,37.41116,1,Macarena - Norte,Biblioteca Los Carteros,"Avenida Pino Montano, 31",954975036,http://www.rmbs.es/blog/biblioteca-los-carteros,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Los Carteros.JPG
-5.924347,37.410306,2,Este - Alcosa - Torrebla,Biblioteca Parque Alcosa,"Avda. Ciudad de Chivas, s/n",954474220,http://www.rmbs.es/blog/biblioteca-parque-alcosa,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Alcosa.jpg
-5.918904,37.396997,3,Este - Alcosa - Torrebla,Biblioteca Centro CÃ­vico Blas Infantes,"C/ Flor de Retama, 1",954474208,http://www.rmbs.es/blog/biblioteca-blas-infante,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Blas Infante.jpg
-5.968591,37.417181,4,Macarena - Norte,Biblioteca Entreparques,"C/ Corral de los Olmos, s/n",954975001,http://www.rmbs.es/blog/biblioteca-entreparques,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Entreparques.JPG
-5.985882,37.424253,5, ,Biblioteca San JerÃ³nimo,"C/ CataluÃ±a, s/n (Monasterio de San JerÃ³",954904101,http://www.rmbs.es/blog/biblioteca-san-jeronimo,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca San Jeronimo.jpg
-5.902918,37.382194,6,Este - Alcosa - Torrebla,Biblioteca Torreblanca,"Plaza Salvador Valverde, 6",955471548,http://www.rmbs.es/blog/biblioteca-torreblanca,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Torreblanca.jpg
-5.983884,37.399523,7,Casco Antiguo,Biblioteca San Julian,"Ronda de Capuchinos, 4",954988243,http://www.rmbs.es/blog/biblioteca-san-julian,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca San Julian.JPG
-5.991682,37.398233,8,Casco Antiguo,Biblioteca Alberto Lista,"C/ Feria, 57",955472081,http://www.rmbs.es/blog/biblioteca-alberto-lista,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Alberto Lista.JPG
-6.000213,37.383171,9,Triana,Biblioteca Las Columnas,"C/ Pureza, 79",955471568,http://www.rmbs.es/blog/biblioteca-las-columnas,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Las Columnas.JPG
-5.962174,37.3696,10,Cerro - Amate,Biblioteca Cerro del Aguila,"C/ Salvador Tavora, s/n",954932820,http://www.rmbs.es/blog/biblioteca-cerro-del-aguila,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Cerro Aguila.jpg
-5.9658,37.360838,11,Sur,Biblioteca El Esqueleto,"C/ Luis Ortiz MuÂ¤oz, s/n",955473401,http://www.rmbs.es/blog/biblioteca-el-esqueleto,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca El Esqueleto.jpg
-5.965745,37.325848,12,Palmera - Bellavista,Biblioteca Luis Cernuda,"Avenida de Jerez, s/n (esquina a c/ JazmÂ¡n)",955472350,http://www.rmbs.es/blog/biblioteca-luis-cernuda,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Luis Cernuda.JPG
-5.989794,37.405448,13,Macarena,Biblioteca Julia Uceda,"C/ Don Fadrique, 59",954915255,http://www.rmbs.es/blog/biblioteca-julia-uceda,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Julia Uceda.JPG
-6.002446,37.396657,14,Casco Antiguo,Biblioteca Felipe Gonzalez MÃ¡rquez,"C/ Torneo, s/n",955471325,http://www.rmbs.es/blog/biblioteca-felipe-gonzalez,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Felipe Gonzales.JPG
-6.002419,37.396734,15,Casco Antiguo,Servicios Centrales de Bibliotecas,"C/ Torneo, s/n",955471322,http://www.rmbs.es/blog/biblioteca-felipe-gonzalez,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Felipe Gonzales.JPG
-5.991356,37.376829,16,Casco Antiguo,Biblioteca Infanta Elena,"Avda. de MarÃ­a Luisa, 8",954712305,http://www.juntadeandalucia.es/cultura/opencms/export/bibliotecas/bibsevilla/infgeneral/dencontrarnos.html,http://sig.urbanismosevilla.org/sevilla.art/images/bibliotecas/Biblioteca Infanta Elena.JPG
