route_id,route_short_name,route_long_name,route_type
1,01,Pgno.Norte-Glorieta Plus Ultra,3
2,02,Barqueta-Glorieta Heliopolis,3
3,03,Bellavista - Pino Montano,3
5,05,Puerta Triana-Santa Aurelia,3
6,06,San Lazaro-Glorieta Heliopolis,3
10,10,Ponce de Leon -San Jeronimo,3
11,11,Pz.Ponce de Leon-Los Principes,3
12,12,Ponce de  Leon-Pino Montano,3
13,13,Plaza Duque-Pino Montano,3
14,14,Plaza Duque-Poligono Norte,3
15,15,Ponce de Leon-San Diego,3
16,16,Pza.Jeron. Cordoba-Valdezorras,3
20,20,Ponce de Leon-Pgno.San Pablo,3
21,21,Plaza Armas-Poligono S. Pablo,3
22,22,Prado-Sevilla Este,3
24,24,Ponce de Leon-Palmete,3
25,25,Prado-Rochelambert,3
26,26,Prado-Cerro del Aguila,3
27,27,Plaza del - Duque-Sevilla Este,3
28,28,Prado-Parque Alcosa,3
29,29,Prado-Torreblanca,3
30,30,Prado-La Paz,3
31,31,Prado-Poligono Sur,3
32,32,Plaza del - Duque-Poligono Sur,3
34,34,Prado-Los Bermejales,3
37,37,Pta.Jerez - Bellavista,3
38,38,Prado - Univ.Pablo Olavide,3
39,39,Los Arcos-Hacienda San Antonio,3
40,40,Plaza Magdalena-Triana,3
41,41,Plz. Magdalena-Los Remedios,3
43,43,Plaza Magdalena- El Turruñuelo,3
52,52,San Bernardo-Palmete,3
53,53,Los Arcos - C.Penitenciario,3
60,T1,Plaza Nueva-San Bernardo,0
81,C1,Isla de La Cartuja-Prado,3
82,C2,Isla de La Cartuja-Prado,3
83,C3,Barqueta-Prado,3
84,C4,Barqueta-Prado,3
87,B3,Gran Plaza-Santa Clara,3
100,EA,Especial -  Aeropuerto,3
101,A1,Prado- Pino Montano,3
102,A2,Prado - San Jeronimo,3
103,A3,Prado - Sevilla Este,3
104,A4,Prado - Santa Aurelia,3
105,A5,Prado - Poligono Sur,3
106,A6,Prado - Bellavista,3
107,A7,Circular Nocturno,3
108,C6A,Circular Macarena Norte,3
109,C6B,Circular Macarena Norte,3
110,A8,Prado - Parque Alcosa,3
119,B4,San Bernardo-Torreblanca,3
121,C5,Plaza Duque-Puerta Jerez,3
125,38A,Prado - Pitamo - Upo,3
