FECHA_DE_RECEPCION;HORA_DE_RECEPCION;FECHA_DE_RESOLUCION;HORA_DE_RESOLUCION;SECCION_ID;SECCION;ANOMALIA_ID;ANOMALIA;TIPO_DE_VIAL_ID;TIPO_DE_VIAL;NOMBRE_DE_VIAL;NUMERO;DISTRITO_ID;DISTRITO;BARRIO_ID;BARRIO;CODIGO_POSTAL
04/01/2016;11:04:48;26/01/2016;13:53:37;34;L MUEBLES/LINEA BLANCA/ESPACIO PUBLICO E;3324;RECOGIDA MUEBLES Y ENSERES A PETICION DEL CIUDADANO;292;AVENIDA;MANZANARES;150;11;CARABANCHEL;1101;COMILLAS;28019
04/01/2016;11:05:34;05/01/2016;07:25:22;34;L MUEBLES/LINEA BLANCA/ESPACIO PUBLICO E;3324;RECOGIDA MUEBLES Y ENSERES A PETICION DEL CIUDADANO;291;CALLE;LOPEZ DE HOYOS;64;5;CHAMARTIN;501;EL VISO;28002
04/01/2016;11:05:51;07/01/2016;08:56:05;34;L MUEBLES/LINEA BLANCA/ESPACIO PUBLICO E;3325;RECOGIDA ELEMENTOS ABANDONADOS EN ESPACIO PUBLICO;291;CALLE;MIOSOTIS;76;6;TETUAN;605;VALDEACEDERAS;-1
04/01/2016;11:06:18;12/01/2016;02:06:10;41;R CUBO/CONT (ORGANICO/ENVASES) REPAR_AVERIADO/ROTO E;3364;ROTO CUBO AMARILLO ENV 2 RUEDAS 240 L;291;CALLE;NUÑEZ DE BALBOA;58;4;SALAMANCA;401;RECOLETOS;28001
04/01/2016;11:06:42;11/01/2016;12:12:48;22;PAVIMENTOS;1846;REPARACION BALDOSAS;291;CALLE;PESCARA;5;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;28032
04/01/2016;11:08:42;12/01/2016;02:11:19;41;R CUBO/CONT (ORGANICO/ENVASES) REPAR_AVERIADO/ROTO E;3361;AVERIADO CONTENEDOR AMARILLO ENV VIA PUBLICA (4RUEDAS/IGLU);291;CALLE;NAVAS DEL REY;9;10;LATINA;1002;PUERTA DEL ANGEL;28011
04/01/2016;11:09:43;20/01/2016;14:58:54;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;291;CALLE;MIOSOTIS;65;6;TETUAN;605;VALDEACEDERAS;28039
04/01/2016;11:10:45;12/01/2016;02:26:10;40;R CUBO/CONT (ORGANICO/ENVASES) HORQUILLAS/BANDERINES E;3437;REPARACION HORQUILLAS_BANDERINES CONTEN ORG-ENV V.PUBLICA;291;CALLE;VIA CARPETANA;109;11;CARABANCHEL;1103;SAN ISIDRO;28047
04/01/2016;11:10:52;08/01/2016;09:49:39;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;291;CALLE;CAÑAS;7;15;CIUDAD LINEAL;1507;COLINA;28043
04/01/2016;11:11:00;08/01/2016;09:44:09;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;291;CALLE;MANUEL NOYA;2;12;USERA;1205;MOSCARDO;28026
