Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude,Location
Amherst,State Park,1,Erie,N,N,N,,,,,,-78.7480881839,42.971000873,"(42.97100087300, -78.74808818390)"
Beaver Island,State Park,1,Erie,Y,N,Y,Y,Y,http://nysparks.com/parks/56/details.aspx,http://nysparks.com/golf-courses/4/details.aspx,http://www.nysparks.com/environment/nature-centers/11/details.aspx,-78.9531063633,42.9657659397,"(42.96576593970, -78.95310636330)"
Big Six Mile Creek Marina,Marine Facility,1,Erie,N,N,N,,,http://nysparks.com/parks/50/details.aspx,,,-79.0109877003,43.0231951575,"(43.02319515750, -79.01098770030)"
Buckhorn Island,State Park,1,Erie,N,N,N,,,http://nysparks.com/parks/174/details.aspx,,,-78.9807473248,43.0585164791,"(43.05851647910, -78.98074732480)"
Darwin Martin House,State Historic Site,1,Erie,N,N,N,,,http://nysparks.com/historic-sites/35/details.aspx,,,-78.8480452045,42.9360920889,"(42.93609208890, -78.84804520450)"
DeVeaux Woods,State Park,1,Erie,N,N,Y,,,http://nysparks.com/parks/11/details.aspx,,,-79.0587431765,43.1194167987,"(43.11941679870, -79.05874317650)"
Devil's Hole,State Park,1,Niagara,N,N,N,,,http://nysparks.com/parks/42/details.aspx,,,-79.0459607011,43.1346318545,"(43.13463185450, -79.04596070110)"
Earl W. Brydges Artpark,State Park,1,Niagara,N,N,N,,,http://nysparks.com/parks/113/details.aspx,,,-79.0419282069,43.1656182246,"(43.16561822460, -79.04192820690)"
Evangola,State Park,1,Erie,N,Y,Y,Y,Y,http://nysparks.com/parks/91/details.aspx,,,-79.1018592578,42.6057993585,"(42.60579935850, -79.10185925780)"
Fort Niagara,State Park,1,Niagara,N,N,Y,Y,,http://nysparks.com/parks/175/details.aspx,,,-79.0525858506,43.2616349374,"(43.26163493740, -79.05258585060)"
Four Mile Creek,State Park,1,Niagara,N,Y,Y,,,http://nysparks.com/parks/6/details.aspx,,,-78.9974685115,43.2743764485,"(43.27437644850, -78.99746851150)"
Golden Hill,State Park,1,Niagara,N,Y,Y,,,http://nysparks.com/parks/143/details.aspx,,,-78.4801588564,43.3694616791,"(43.36946167910, -78.48015885640)"
Joseph Davis,State Park,1,Niagara,N,N,Y,,,http://nysparks.com/parks/45/details.aspx,,,-79.0399244577,43.214121149,"(43.21412114900, -79.03992445770)"
Knox Farm,State Park,1,Erie,N,N,N,,,http://nysparks.com/parks/163/details.aspx,,,-78.6477499359,42.7738672657,"(42.77386726570, -78.64774993590)"
Niagara Falls,State Park,1,Niagara,N,N,N,Y,,http://nysparks.com/parks/46/details.aspx,,,-79.0670195347,43.0867482021,"(43.08674820210, -79.06701953470)"
Old Fort Niagara,State Historic Site,1,Niagara,N,N,N,,,http://nysparks.com/historic-sites/31/details.aspx,,,-79.0631143489,43.2625939108,"(43.26259391080, -79.06311434890)"
Reservoir,State Park,1,Niagara,N,N,Y,,,http://nysparks.com/parks/75/details.aspx,,,-79.0150381473,43.1340115441,"(43.13401154410, -79.01503814730)"
Strawberry Island,Other,1,Erie,N,N,N,,,,,,-78.9224974212,42.9539490596,"(42.95394905960, -78.92249742120)"
Whirlpool,State Park,1,Niagara,N,N,Y,,,http://nysparks.com/parks/105/details.aspx,,,-79.0634179678,43.1204004767,"(43.12040047670, -79.06341796780)"
Wilson-Tuscarora,State Park,1,Niagara,N,N,Y,,Y,http://nysparks.com/parks/69/details.aspx,,,-78.8556088836,43.3037772926,"(43.30377729260, -78.85560888360)"
Woodlawn Beach,State Park,1,Erie,N,N,Y,,Y,http://nysparks.com/parks/47/details.aspx,,http://www.nysparks.com/environment/nature-centers/10/details.aspx,-78.8522078489,42.7938189008,"(42.79381890080, -78.85220784890)"
Allegany,State Park,2,Cattaraugus,N,Y,Y,Y-A,Y-M,http://nysparks.com/parks/136/details.aspx,,http://www.nysparks.com/environment/nature-centers/12/details.aspx,-78.7685586473,42.0547575211,"(42.05475752110, -78.76855864730)"
Lake Erie,State Park,2,Chautauqua,N,Y,Y,,Y,http://nysparks.com/parks/129/details.aspx,,,-79.431417873,42.4228907897,"(42.42289078970, -79.43141787300)"
Long Point,State Park,2,Chautauqua,N,N,Y,,Y,http://nysparks.com/parks/109/details.aspx,,,-79.4109114045,42.1787606524,"(42.17876065240, -79.41091140450)"
Midway,State Park,2,Chautauqua,N,N,N,,,http://nysparks.com/parks/167/details.aspx,,,-79.4224274036,42.2008724801,"(42.20087248010, -79.42242740360)"
Braddock Bay,State Park,3,Monroe,N,N,N,,,,,,-77.7038657164,43.2941954526,"(43.29419545260, -77.70386571640)"
Canal Park Lock 32,Other,3,Monroe,N,N,N,,,,,,-77.5463410098,43.0925511521,"(43.09255115210, -77.54634100980)"
Conesus Lake Marine Park,Marine Facility,3,Livingston,N,N,N,,,http://nysparks.com/parks/71/details.aspx,,,-77.7116004968,42.7758061511,"(42.77580615110, -77.71160049680)"
