"County","Region","NumberRegion"
"Niagara","Western New York",1
"Erie","Western New York",1
"Chautauqua","Western New York",1
"Cattaraugus","Western New York",1
"Allegany","Western New York",1
"Orleans","Finger Lakes",2
"Genesee","Finger Lakes",2
"Wyoming","Finger Lakes",2
"Monroe","Finger Lakes",2
"Livingston","Finger Lakes",2
"Wayne","Finger Lakes",2
"Ontario","Finger Lakes",2
"Yates","Finger Lakes",2
"Seneca","Finger Lakes",2
"Steuben","Southern Tier",3
"Schuyler","Southern Tier",3
"Chemung","Southern Tier",3
"Tompkins","Southern Tier",3
"Tioga","Southern Tier",3
"Chenango","Southern Tier",3
"Broome","Southern Tier",3
"Delaware","Southern Tier",3
"Cortland","Central New York",4
"Cayuga","Central New York",4
"Onondaga","Central New York",4
"Oswego","Central New York",4
"Madison","Central New York",4
"St. Lawrence","North Country",5
"Lewis","North Country",5
"Jefferson","North Country",5
"Hamilton","North Country",5
"Essex","North Country",5
"Clinton","North Country",5
"Franklin","North Country",5
"Oneida","Mohawk Valley",6
"Herkimer","Mohawk Valley",6
"Fulton","Mohawk Valley",6
"Montgomery","Mohawk Valley",6
"Otsego","Mohawk Valley",6
"Schoharie","Mohawk Valley",6
"Albany","Capital District",7
"Columbia","Capital District",7
"Greene","Capital District",7
"Warren","Capital District",7
"Washington","Capital District",7
"Saratoga","Capital District",7
"Schenectady","Capital District",7
"Rensselaer","Capital District",7
"Sullivan","Hudson Valley",8
"Ulster","Hudson Valley",8
"Dutchess","Hudson Valley",8
"Orange","Hudson Valley",8
"Rockland","Hudson Valley",8
"Westchester","Hudson Valley",8
"Putnam","Hudson Valley",8
"New York","New York City",9
"Bronx","New York City",9
"Queens","New York City",9
"Kings","New York City",9
"Richmond","New York City",9
"Nassau","Long Island",10
"Suffolk","Long Island",10
