District Name,School Name,Organization Type,Organization Code,StreetLocation,Latitude,Longitude,Zipcode,Phone,,,,
Waterford School District,Oswegatchie Elementary School,Public Schools,1520611,"470 Boston Post Rd.
Waterford, CT 06385
",41.36073815900005, -72.17722061299997,6385,860-442-4331,,,,
Westport School District,Bedford Middle School,Public Schools,1585111,"88 North Ave.
Westport, CT 06880
",41.15685486800004, -73.33362130599994,6880,203-341-1510,,,,
Meriden School District,Orville H. Platt High School,Public Schools,806211,"220 Coe Ave.
Meriden, CT 06450
",41.53565222200007, -72.82642127699995,6450,203-235-7963,,,,
Thompson School District,Thompson Middle School,Public Schools,1415111,"785 Riverside Dr.
North Grosvenordale, CT 06255
",41.97557376200007, -71.90074934899997,6255,860-923-9380,,,,
Norwalk School District,Kendall Elementary School,Public Schools,1030811,"57 Fillow St.
Norwalk, CT 06850
",41.11864369500006, -73.43344073899993,6850,203-899-2880,,,,
Redding School District,Redding Elementary School,Public Schools,1170111,"33 Lonetown Rd.
Redding, CT 06875
",41.30937912400003, -73.38383704599994,6875,203-938-2519,,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Public Schools,647511,"55 Forest Street
Hartford, CT 06105
",41.763926120000065, -72.70057682999999,6105,860-695-1325,,,,
Ledyard School District,Ledyard High School,Public Schools,726111,"24 Gallup Hill Rd.
Ledyard, CT 06339
",41.43734640800005, -71.99181750299994,6339,860-464-9600,,,,
Regional School District 16,Regional School District 16,Regional School Districts,2160012,"207 New Haven Road
Prospect, CT 06712
",41.47604118400005, -72.96898705099994,6712,203-758-6671,,,,
Hamden School District,Spring Glen School,Public Schools,621011,"1908 Whitney Ave.
Hamden, CT 06517
",41.36811765200008, -72.90744768799993,6517,203-407-2045,,,,
Regional School District 09,Regional School District 09,Regional School Districts,2090012,"654 Morehouse Road
Monroe, CT 06468
",41.33258800800007, -73.22882948199998,6468,203-261-2513,,,,
Guilford School District,A. Baldwin Middle School,Public Schools,600711,"68 Bullard Dr.
Guilford, CT 06437
",41.33885396800008, -72.71908477999995,6437,203-457-0222,,,,
Norwich School District,Teachers' Memorial Middle School,Public Schools,1045211,"15 Teachers Dr.
Norwich, CT 06360
",41.529107073000034, -72.09811957199997,6360,860-823-4212,,,,
Trumbull School District,Booth Hill School,Public Schools,1440111,"545 Booth Hill Rd.
Trumbull, CT 06611
",41.260619004000034, -73.17045450899997,6611,203-452-4377,,,,
New Haven School District,Edgewood School,Public Schools,931211,"737 Edgewood Ave.
New Haven, CT 06515
",41.31781791100008, -72.96081276399997,6515,203-946-8611,,,,
Hartford School District,McDonough Expeditionary Learning School,Public Schools,641211,"111 Hillside Avenue
Hartford, CT 06106
",41.74904783300008, -72.69802637199996,6106,860-695-4260,,,,
