Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude
Amherst,State Park,1,Erie,N,N,N,N,N,,,,-78.7480881839,42.971000873
Beaver Island,State Park,1,Erie,Y,N,Y,Y,Y,http://nysparks.com/parks/56/details.aspx,http://nysparks.com/golf-courses/4/details.aspx,http://www.nysparks.com/environment/nature-centers/11/details.aspx,-78.9531063633,42.9657659397
Big Six Mile Creek Marina,Marine Facility,1,Erie,N,N,N,N,N,http://nysparks.com/parks/50/details.aspx,,,-79.0109877003,43.0231951575
Buckhorn Island,State Park,1,Erie,N,N,N,N,N,http://nysparks.com/parks/174/details.aspx,,,-78.9807473248,43.0585164791
Darwin Martin House,State Historic Site,1,Erie,N,N,N,N,N,http://nysparks.com/historic-sites/35/details.aspx,,,-78.8480452045,42.9360920889
DeVeaux Woods,State Park,1,Erie,N,N,Y,N,N,http://nysparks.com/parks/11/details.aspx,,,-79.0587431765,43.1194167987
Devil's Hole,State Park,1,Niagara,N,N,N,N,N,http://nysparks.com/parks/42/details.aspx,,,-79.0459607011,43.1346318545
Earl W. Brydges Artpark,State Park,1,Niagara,N,N,N,N,N,http://nysparks.com/parks/113/details.aspx,,,-79.0419282069,43.1656182246
Evangola,State Park,1,Erie,N,Y,Y,Y,Y,http://nysparks.com/parks/91/details.aspx,,,-79.1018592578,42.6057993585
Fort Niagara,State Park,1,Niagara,N,N,Y,Y,N,http://nysparks.com/parks/175/details.aspx,,,-79.0525858506,43.2616349374
Four Mile Creek,State Park,1,Niagara,N,Y,Y,N,N,http://nysparks.com/parks/6/details.aspx,,,-78.9974685115,43.2743764485
Golden Hill,State Park,1,Niagara,N,Y,Y,N,N,http://nysparks.com/parks/143/details.aspx,,,-78.4801588564,43.3694616791
Joseph Davis,State Park,1,Niagara,N,N,Y,N,N,http://nysparks.com/parks/45/details.aspx,,,-79.0399244577,43.214121149
Knox Farm,State Park,1,Erie,N,N,N,N,N,http://nysparks.com/parks/163/details.aspx,,,-78.6477499359,42.7738672657
Niagara Falls,State Park,1,Niagara,N,N,N,Y,N,http://nysparks.com/parks/46/details.aspx,,,-79.0670195347,43.0867482021
Old Fort Niagara,State Historic Site,1,Niagara,N,N,N,N,N,http://nysparks.com/historic-sites/31/details.aspx,,,-79.0631143489,43.2625939108
Reservoir,State Park,1,Niagara,N,N,Y,N,N,http://nysparks.com/parks/75/details.aspx,,,-79.0150381473,43.1340115441
Strawberry Island,Other,1,Erie,N,N,N,N,N,,,,-78.9224974212,42.9539490596
Whirlpool,State Park,1,Niagara,N,N,Y,N,N,http://nysparks.com/parks/105/details.aspx,,,-79.0634179678,43.1204004767
Wilson-Tuscarora,State Park,1,Niagara,N,N,Y,N,Y,http://nysparks.com/parks/69/details.aspx,,,-78.8556088836,43.3037772926
Woodlawn Beach,State Park,1,Erie,N,N,Y,N,Y,http://nysparks.com/parks/47/details.aspx,,http://www.nysparks.com/environment/nature-centers/10/details.aspx,-78.8522078489,42.7938189008
Allegany,State Park,2,Cattaraugus,N,Y,Y,Y,Y,http://nysparks.com/parks/136/details.aspx,,http://www.nysparks.com/environment/nature-centers/12/details.aspx,-78.7685586473,42.0547575211
Lake Erie,State Park,2,Chautauqua,N,Y,Y,N,Y,http://nysparks.com/parks/129/details.aspx,,,-79.431417873,42.4228907897
Long Point,State Park,2,Chautauqua,N,N,Y,N,Y,http://nysparks.com/parks/109/details.aspx,,,-79.4109114045,42.1787606524
Midway,State Park,2,Chautauqua,N,N,N,N,N,http://nysparks.com/parks/167/details.aspx,,,-79.4224274036,42.2008724801
Braddock Bay,State Park,3,Monroe,N,N,N,N,N,,,,-77.7038657164,43.2941954526
Canal Park Lock 32,Other,3,Monroe,N,N,N,N,N,,,,-77.5463410098,43.0925511521
Conesus Lake Marine Park,Marine Facility,3,Livingston,N,N,N,N,N,http://nysparks.com/parks/71/details.aspx,,,-77.7116004968,42.7758061511
Darien Lakes,State Park,3,Genesee,N,Y,Y,N,Y,http://nysparks.com/parks/144/details.aspx,,,-78.4114922979,42.9118141573
Genesee River,Other,3,Monroe,N,N,N,N,N,,,,-77.6143127098,43.2305847066
Hamlin Beach,State Park,3,Monroe,N,Y,Y,N,Y,http://nysparks.com/parks/20/details.aspx,,,-77.9550976705,43.3600913014
Irondequoit Bay Marine Park,Marine Facility,3,Monroe,N,N,N,N,N,http://nysparks.com/parks/100/details.aspx,,,-77.5397106881,43.2318695342
Lakeside Beach,State Park,3,Orleans,N,Y,Y,N,N,http://nysparks.com/parks/161/details.aspx,,,-78.2437024878,43.3663835822
Letchworth,State Park,3,Liv/Wyo,N,Y,Y,N,N,http://nysparks.com/parks/79/details.aspx,,,-77.9757692236,42.6459213488
Oak Orchard Marine Park,Marine Facility,3,Orleans,N,N,N,N,N,http://nysparks.com/parks/131/details.aspx,,,-78.2010190588,43.3681054695
Silver Lake,State Park,3,Wyoming,N,N,N,N,N,http://nysparks.com/parks/104/details.aspx,,,-78.0565609783,42.6792542189
Allan H. Treman,Marine Facility,4,Tompkins,N,N,N,N,N,http://nysparks.com/parks/35/details.aspx,,,-76.517568174,42.4613966817
Beechwood,State Park,4,Wayne,N,N,N,N,N,,,,-77.0337933037,43.266694455
Bonavista,State Park,4,Seneca,Y,N,N,N,N,http://nysparks.com/parks/160/details.aspx,http://nysparks.com/golf-courses/10/details.aspx,,-76.8677249793,42.6731942171
Buttermilk Falls,State Park,4,Tompkins,N,Y,Y,N,Y,http://nysparks.com/parks/151/details.aspx,,,-76.5122566369,42.4040259595
Canandaigua Lake Marine Park,Marine Facility,4,Ontario,N,N,N,N,N,http://nysparks.com/parks/3/details.aspx,,,-77.275682797,42.8766685939
Cayuga Lake,State Park,4,Seneca,N,Y,Y,N,Y,http://nysparks.com/parks/123/details.aspx,,,-76.7553118502,42.8979519073
Chimney Bluffs,State Park,4,Wayne,N,N,N,N,N,http://nysparks.com/parks/43/details.aspx,,,-76.9170242028,43.2809455173
Deans Cove Boat Launch,Marine Facility,4,Seneca,N,N,N,N,N,http://nysparks.com/parks/63/details.aspx,,,-76.7687292376,42.7444615076
Fair Haven Beach,State Park,4,Cayuga,Y,Y,Y,N,Y,http://nysparks.com/parks/12/details.aspx,http://nysparks.com/golf-courses/9/details.aspx,,-76.6913106828,43.3417081221
Fillmore Glen,State Park,4,Cayuga,N,Y,Y,N,Y,http://nysparks.com/parks/157/details.aspx,,,-76.388006245,42.6909689808
Ganondagon,State Historic Site,4,Ontario,N,N,N,N,N,http://nysparks.com/historic-sites/26/details.aspx,,,-77.4220682423,42.9648298665
Harriet Hollister Spencer,State Park,4,Ontario,N,N,N,N,N,http://nysparks.com/parks/164/details.aspx,,,-77.5154780869,42.688112003
Honeoye Marine Park,Marine Facility,4,Ontario,N,N,N,N,N,http://nysparks.com/parks/162/details.aspx,,,-77.5045781497,42.7257540199
Indian Hills,State Park,4,Steuben,Y,N,N,N,N,,http://nysparks.com/golf-courses/19/details.aspx,,-77.1547655357,42.0930548903
Keuka Lake,State Park,4,Yates,N,N,Y,N,Y,http://nysparks.com/parks/67/details.aspx,,,-77.1285833589,42.5821825522
Lodi Point Marine Park,Marine Facility,4,Seneca,N,N,Y,N,N,http://nysparks.com/parks/89/details.aspx,,,-76.8768305442,42.6182465855
Long Point,State Park,4,Cayuga,N,N,Y,N,Y,http://nysparks.com/parks/170/details.aspx,,,-76.6984092825,42.7174110413
Mark Twain,State Park,4,Chemung,Y,N,N,N,N,http://nysparks.com/parks/138/details.aspx,http://nysparks.com/golf-courses/3/details.aspx,,-76.8356909125,42.211660694
Newtown Battlefield,State Park,4,Chemung,N,Y,Y,N,N,http://nysparks.com/parks/107/details.aspx,,,-76.7363172694,42.0490265183
Parrot Hall,State Historic Site,4,Ontario,N,N,N,N,N,,,,-77.0088142477,42.8767739578
Pinnacle,State Park,4,Steuben,Y,N,N,N,N,http://nysparks.com/parks/4/details.aspx,http://nysparks.com/golf-courses/16/details.aspx,,-77.2145609228,42.0973529692
Robert H. Treman,State Park,4,Tompkins,N,Y,Y,N,Y,http://nysparks.com/parks/135/details.aspx,,,-76.5795442076,42.4005756394
Sampson,State Park,4,Seneca,N,Y,Y,N,Y,http://nysparks.com/parks/154/details.aspx,,,-76.9013257035,42.7254900187
Seneca Lake,State Park,4,Ont/Sen,N,N,Y,N,Y,http://nysparks.com/parks/125/details.aspx,,,-76.9545497708,42.8739500967
Sonnenberg Gardens and Mansion,State Historic Park,4,Ontario,N,N,N,N,N,http://nysparks.com/historic-sites/36/details.aspx,,,-77.2721596007,42.8981467736
Stony Brook,State Park,4,Steuben,N,Y,Y,N,Y,http://nysparks.com/parks/118/details.aspx,,,-77.6929663929,42.5185595291
Taughannock Falls,State Park,4,Tompkins,N,Y,Y,N,Y,http://nysparks.com/parks/62/details.aspx,,,-76.6097670832,42.5407382384
Two Rivers,State Park,4,Tioga,N,N,N,N,N,http://nysparks.com/parks/179/details.aspx,,,-76.5473199933,42.0251635453
Watkins Glen,State Park,4,Schuyler,N,Y,Y,N,N,http://nysparks.com/parks/142/details.aspx,,,-76.9001337586,42.3675397399
Battle Island,State Park,5,Oswego,Y,N,N,N,N,http://nysparks.com/parks/44/details.aspx,http://nysparks.com/golf-courses/5/details.aspx,,-76.4360441829,43.3616709338
Betty & Wilbur Davis,State Park,5,Otsego,N,N,N,N,N,http://nysparks.com/parks/85/details.aspx,,,-74.8329098238,42.6636396942
Bowman Lake,State Park,5,Chenango,N,Y,Y,N,Y,http://nysparks.com/parks/76/details.aspx,,,-75.6806338029,42.519984738
Canadarago Boat Marine Park,Marine Facility,5,Otsego,N,N,N,N,N,,,,-75.013711762,42.8186973108
Chenango Valley,State Park,5,Broome,Y,Y,Y,N,Y,http://nysparks.com/parks/41/details.aspx,http://nysparks.com/golf-courses/20/details.aspx,,-75.8362368401,42.2155402507
Chittenango Falls,State Park,5,Madison,N,N,Y,Y,N,http://nysparks.com/parks/130/details.aspx,,,-75.8466563129,42.9814847366
Clark Reservation,State Park,5,Onondaga,N,N,Y,Y,N,http://nysparks.com/parks/126/details.aspx,,,-76.0930004359,42.9975225031
Delta Lake,State Park,5,Oneida,N,Y,Y,N,Y,http://nysparks.com/parks/66/details.aspx,,,-75.4218722435,43.290965581
Fort Ontario,State Historic Site,5,Oswego,N,N,N,N,N,http://nysparks.com/historic-sites/20/details.aspx,,,-76.5074471503,43.4661242441
Gilbert Lake,State Park,5,Otsego,N,Y,Y,N,Y,http://nysparks.com/parks/19/details.aspx,,,-75.1324631246,42.586583996
