Company Name,District Name,Address,Telephone Number,Location
A,CENTRAL STN,766 VALLEJO ST,415-315-2400,"(37.7986453192461, -122.4098629092911)"
B,SOUTHERN STN,850 BRYANT ST,415-553-1373,"(37.7749888994694, -122.4043283015447)"
C,BAYVIEW STN,201 WILLIAMS ST,415-671-2300,"(37.7296417183220, -122.3980865549364)"
D,MISSION STN,630 VALLENCIA ST,415-558-5400,"(37.7626807026424, -122.4219696654014)"
E,NORTHERN STN,1125 FILLMORE ST,415-614-3400,"(37.7801611403781, -122.4323904351790)"
F,PARK STN,1899 WALLER ST,415-242-3000,"(37.7678486242834, -122.4552665971872)"
G,RICHMOND STN,461 6TH AV,415-666-8000,"(37.7800012925707, -122.4644607286463)"
H,INGLESIDE STN,1 JOHN YOUNG LN,415-404-4000,"(37.7247701343562, -122.4462510450206)"
I,TARAVAL STN,2345 24TH AV,415-759-3100,"(37.7437337946250, -122.4814607671523)"
J,TENDERLOIN STN,301 EDDY ST,415-345-7300,"(37.7837040581307, -122.4128957522243)"
