LABEL,WARD_NUM,COUNCILLOR,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75
WARD 12,12,SHANE KEATING,2015,,103062,38765,12103,0,0,31328,0,0,27838,1995,13,4049,4718,5,56,1,0,83,4,0,3,0,18,2842,1868,4958,280,907,2,1,41,6,81,9,5,0,10,1850,1534,4498,30,105,0,0,4,2,11,1,0,0,0,13,3,32,0,0,0,2,74,3,487,12,3,0,20,4198,3069,8907,165,335,0,70,26805,24843,84088,307,649,7,91,4904,11950,7382,10466,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 14,14,PETER DEMONG,2015,,79616,29536,5944,0,0,24266,0,0,21853,1775,17,2586,3101,2,185,3,0,2,7,0,5,0,8,2273,1067,3621,87,198,20,0,162,18,299,15,0,8,1,1727,1406,4422,20,26,1,0,2,0,4,0,0,0,0,17,1,50,0,0,0,0,12,1,981,3,2,0,7,2908,1848,6821,73,112,1,38,21334,19925,63418,241,234,6,17,4484,10011,5560,7545,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,9,GIAN-CARLO CARRA,2015,,77811,37030,5139,0,0,20161,0,0,17652,3056,63,10035,3250,408,2447,3,67,21,9,1,18,0,47,8800,2429,14539,387,754,47,19,1998,105,3192,278,6,146,2,2864,1634,7561,121,67,2,2,386,344,675,19,0,1,0,53,26,112,3,7,7,14,94,16,2128,11,0,0,14,3098,1944,6899,96,10,32,54,17007,13663,42705,463,96,32,119,10908,12952,5282,4550,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,4,SEAN CHU,2015,,87017,33036,5874,0,0,23009,0,0,21543,2873,50,2492,4604,126,1335,0,3,3,2,1,4,0,6,2375,602,3918,100,8,3,3,1079,52,1925,144,3,106,2,2783,1482,7400,74,12,2,0,124,107,258,1,1,0,0,46,3,94,3,0,0,1,12,1,291,0,0,0,3,4490,2218,11322,103,2,6,10,21267,18544,61809,240,15,11,13,5943,11246,6337,7581,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,2,JOE MAGLIOCCA,2015,,89190,31434,8030,0,0,25721,0,0,23251,1109,275,2768,3558,312,148,0,0,2,6,5,0,0,2,2332,1476,4067,69,365,0,0,126,7,239,20,0,2,7,1033,876,2535,32,37,0,1,303,298,490,7,0,1,0,205,154,406,7,63,63,0,11,2,1573,0,2,0,11,2964,2109,6986,67,516,0,65,22447,20799,72894,259,479,1,13,3771,9006,6229,9181,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,1,WARD SUTHERLAND,2015,,88334,34814,6482,0,0,24241,0,0,21269,2221,62,6089,3830,499,787,8,7,9,6,14,13,0,9,5394,1421,9534,195,490,1,0,667,49,1189,89,4,27,4,2119,1258,5225,69,27,2,1,485,437,962,13,0,0,0,59,9,96,3,0,0,1,50,10,1757,4,0,2,0,3702,2022,8008,112,15,1,9,20913,19035,61563,278,57,12,57,6923,11984,5810,7963,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,5,RAY JONES,2015,,97921,30555,8193,0,0,19848,0,0,19964,2918,1,1484,3549,302,2313,2,1,1,3,1,16,0,2,1365,314,2647,53,64,0,2,1871,105,4516,317,4,119,0,2841,1682,9067,75,0,2,0,299,292,521,3,0,0,0,1,1,5,0,0,0,1,17,4,428,6,0,0,6,3459,1524,10296,83,0,1,8,19682,15926,70441,249,13,12,24,3511,7712,5943,9392,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,7,DRUH FARRELL,2015,,84075,42248,4824,0,0,19363,0,0,17279,3404,327,15721,2687,1,2659,17,99,14,8,4,28,0,84,13038,3354,19883,1070,1518,11,6,2182,103,3698,340,2,129,7,3138,1921,8138,144,109,6,0,0,0,0,1,0,0,0,304,31,460,14,9,9,3,109,31,3382,26,31,1,4,2534,1221,5613,99,49,1,48,16444,12702,42901,576,186,25,170,12932,14111,5209,5045,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3,JIM STEVENSON,2015,,102048,31694,10926,0,0,24321,0,0,21439,1606,107,4276,2860,4,1391,0,1,0,3,1,6,0,6,3584,2260,7257,111,575,0,4,1114,103,3105,174,1,98,2,1559,1277,4527,19,26,0,2,0,0,0,2,0,0,0,103,32,211,4,0,0,1,8,0,352,2,0,0,11,2551,1802,6659,69,229,0,10,21033,18847,79937,216,162,18,11,3307,6952,5894,10843,2956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,6,RICHARD POOTMANS,2015,,86558,32523,7289,0,0,25749,0,0,19770,2323,48,5185,4902,1,283,0,0,1,7,1,2,0,9,4892,2452,8075,168,111,5,3,232,22,408,30,1,17,0,2254,1709,5068,55,9,5,0,0,0,0,0,0,1,0,46,2,115,2,0,0,0,11,1,674,0,0,0,1,4722,3563,10374,150,24,5,12,19240,18000,61844,335,168,15,11,6284,9838,5522,8867,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
