TYPE,NAME,ADDRESS,COMM_CODE
EMS Station,EMS Station 32,29 SADDLE CREEK COVE NE,SAD
Public Toilet,Automated Public Toilet,Across 553 RIVERFRONT AV SE,DNE
EMS Station,EMS Station 22,7199 TEMPLE DR NE,TEM
Arena,West Mount Pleasant Community Sportsplex,610 23 AV NW,MOP
EMS Station,EMS Station 5,4824 4 ST NW,HPK
EMS Station,EMS Station 23,2727 26 AV SE,DOV
EMS Station,EMS Station 18,415 68 AV NW,HUN
Public Toilet,Automated Public Toilet,7 ST/ 17 AV SW,BLN
EMS Station,EMS Station 6,1940 WESTMOUNT BV NW,WHL
EMS Station,EMS Station 30,6 MCKENZIE TOWNE GA SE,MCT
Athletic Park,Pop Davies Athletic Park,6415 OGDEN RD SW,OGD
City Park,Prarie Winds,223 CASTLERIDGE BV NE,WES
City Park,Nat Christie Park,14 ST SW & Bow TR SW,DNW
Indoor Pool,Glenmore Aquatic Centre,5330 19 ST SW,GPK
City Park,Tomkins Park,17 AV & 8 ST SW,BLN
City Park,James Short Park,115 4 AV SW,DNC
Arena,Optimist/George Blundun Arenas,5020 26 AV SW,GDL
Cemetery,St. Mary's Cemetery,ERLTON ST SW & 32 AV SW,ERL
Arena,Murray Copot Arena,6715 CENTER ST NW,HUN
Athletic Park,Acadia Athletic Park,315 90 AV SE,ACA
Arena,Father David Bauer/Norma Bush Arenas,2424 UNIVERSITY DR NW,UOC
City Park,Peace Park,2 AV SW & 8 ST SW,EAU
City Park,Reader Rock Gardens,MACLEOD TR SW & 25 AV SW,MNI
City Park,Tom Campbell's Hill Natural Park,25 ST GEORGES DR NE,BRD
Athletic Park,Foothills Athletic Park,2431 CROWCHILD TR NW,UOC
Indoor Pool,Foothills Aquatic Centre,2915 24 AV NW,UOC
Athletic Park,Frank McCool Athletic Park,1900 LAKE BONAVISTA DR SE,LKB
City Park,Prince's Island,4 ST SW & 1 AV SW,EAU
City Park,Twelve-mile Coulee Natural Park,TUSCANY BV NW & STONEY TRAIL NW,TUS
City Park,River Park,4500 14A ST SW,ALT
City Park,Bowness Park,8900 48 AV NW,BOW
City Park,Rotary Park,617 1 ST NE,CRE
City Park,Devonian Gardens,317 7 AV SW (4th Level TD Square) ,DNC
Arena,Trico Centre for Family Wellness,11150 BONAVENTURE DR SE,WIL
City Park,Elliston Regional Park,17AV SE & 60 ST SE,10B
Indoor Pool,Mount Royal University,4825 RICHARD RD SW,LPK
Arena,Crowfoot Arena,8080 JOHN LAURIE BV NW,ARB
Golf Course,Canyon Meadows Golf & Country Club,12501 14 ST SW,WOO
Indoor Pool,Calgary Jewish Centre,1607 90 AV SW,PUM
Golf Course,Calgary Elks Lodge & Golf Club,2502 6 ST NE,WIN
City Park,North Capitol Hill Park (Canmore Park),19 ST NW & CHICOUTIMI DR NW,CHW
Art Centre,Wildflower Arts Centre,3363 SPRUCE DR SW,SPR
Outdoor Pool,Rotary Spray Park,617 1 ST NE,CRE
City Park,Sue Higgings Park,SOUTHLAND DR SE & DEERFOOT TR SE,MPL
Outdoor Pool,Valleyview Spray Park,28 ST & 30 AV SE,DOV
Outdoor Pool,Canmore Spray Park,2836 CANMORE RD NW,CHW
Outdoor Pool,Prairie Winds Outdoor Wading Pool,223 CASTLERIDGE BV NE,WES
Athletic Park,Foothills Stadium,2255 CROWCHILD TR NW,UOC
Art Centre,North Mount Pleasant Arts Centre,523 27 AV NW,MOP
Outdoor Pool,Eau Claire Plaza Outdoor Wading Pool,380 RIVERFRONT AV SW,EAU
City Park,Battalion Park,3001 SIGNAL HILL DR SW,SIG
Arena,Ernie Starr Arena,4808 14 AV SE,FLN
Arena,Rose Kohn/Jimmie Condon Arenas,502 HERITAGE DR SW,KIN
Athletic Park,Tom Brook Athletic Park,2000 SOUTHLAND DR SW,PAL
City Park,Weaselhead Flats,66 AV SW & 37 ST SW,GPK
Indoor Pool,Renfrew Aquatic & Recreation Centre,810 13 AV NE,REN
City Park,Stanley Park,4011 1A ST SW,PKH
Indoor Pool,Thornhill Aquatic & Recreation Centre,6715 CENTRE ST NW,HUN
Athletic Park,Forest Lawn Athletic Park,4808 14 AV SE,FLN
City Park,Confederation Park,24 AV NW & 14 ST NW to 30 AV NW & 10 ST NW,CAP
City Park,Glenmore Park (North),7305 24 ST SW,GPK
City Park,Bottomlands Park,300 800 ST GEORGES DR NE,REN
Indoor Pool,Inglewood Aquatic Centre,1527 17 AV SE,AYB
City Park,Shouldice Park,BOWNESS RD NW & 56 ST NW,MON
City Park,Valleyview Park,3103 28 ST SE,DOV
City Park,Baker Park ,9333 SCENIC BOW RD NW,SCE
Indoor Pool,Fitness On 5th YWCA,320 5 AV SE,DNC
Golf Course,Earl Grey Golf Club,6540 20 ST SW,GPK
Golf Course,Valley Ridge Golf Course,11618 VALLEY RIDGE PK NW,VAL
Outdoor Pool,Silver Springs Outdoor Pool,5720 SILVER RIDGE DR NW,SIL
Golf Course,Lynx Ridge Golf Club,8 LYNX RIDGE BV NW (Bearspaw),01F
Outdoor Pool,South Calgary Outdoor Pool,3130 16 ST SW,SOC
Indoor Pool,Eau Claire YMCA,101 3 ST SW,EAU
Arena,Don Hartman North East Sportsplex,5206 68 ST NE,COR
Leisure Centre,Talisman Centre,2225 MACLEOD TR S,ERL
Golf Course,Willow Park Golf & Country Club,639 WILLOW PARK DR SE,WIL
Golf Course,Silver Springs Golf & Country Club,1600 VARSITY ESTATES DR NW,VAR
City Park,Fish Creek Provincial Park,1840 160 AV SW,FPK
Indoor Pool,Talisman Centre,2225 MACLEOD TR S,ERL
Arena,Huntington Hills Community Association,520 78 AV NW,HUN
Indoor Pool,Westside Recreation Centre,2000 69 ST SW,SIG
Arena,Calgary Winter Club,4611 14ST NW,NPK
EMS Station,EMS Station 21,209 SILVERGROVE DR NW,SIL
EMS Station,EMS Station 12,123 44 ST SE,FHT
EMS Station,EMS Station 24,2607 106 AV SW,CED
EMS Station,EMS Station 1,450 1 ST SE,DNC
Golf Course,Blue Devil Golf Club,2300 194 AV SE,CHA
Golf Course,Heritage Pointe Golf Club,1 HERITAGE POINT DR (DeWinton),
Golf Course,Cottonwood Golf & Country Club,236 AV E 80 ST,
Leisure Centre,Southland Leisure Centre,2000 SOUTHLAND DR SW,PAL
Leisure Centre,Village Square Leisure Centre,2623 56 ST NE,PIN
Indoor Pool,Village Square Leisure Centre,2623 56 ST NE,PIN
Indoor Pool,Southland Leisure Centre,2000 SOUTHLAND DR SW,PAL
Skate Park,Huntington Hills Skatepark,CENTRE ST & 64 AV NW,HUN
Golf Course,Richmond Green Golf Course,2539 33 AV SW,RIC
Golf Course,Maple Ridge Golf Course,1240 MAPLEGLADE DR SE,MPL
Golf Course,McCall Lake Golf Course,1600 32 AV NE,MCI
Skate Park,Millenium Park,1220 9 AV SW,DNW
Skate Park,CKE Skatespot,1015 73 AV SW,KEL
Skate Park,Southwood Skatepark,11 SACKVILLE DR SW,SOW
Golf Course,Confederation Park Golf Course,3204 COLLINGWOOD DR NW,COL
Golf Course,Shaganappi Point Golf Course,1200 26 ST SW,SHG
Golf Course,Lakeview Golf Course,5840 19 ST SW,GPK
Arena,Max Bell Centre,1001 BARLOW TR SE,ALB
Public Toilet,Automated Public Toilet,Across 553 RIVERFRONT AV SE,DNE
EMS Station,EMS Station 14,9840 HORTON RD SW,HAY
EMS Station,EMS Station 28,7925 EDGEMONT BV NW,EDG
EMS Station,EMS Station 8,1720 45 ST SW,RCK
Cemetery,Queen's Park Cemetery,32 AV NW & 4 ST NW,MOP
Arena,Shouldice Arena,1515 HOME RD NW,MON
City Park,Beaverdam Flats Natural Park,62 AV SE & 16 ST SE,OGD
City Park,Olympic Plaza,228 8 AV SE,DNC
Athletic Park,Optimist Athletic Park,5020 26 AV SW,GDL
Arena,Village Square Leisure Centre Arenas,2623 56 ST NE,PIN
Indoor Pool,Sir Winston Churchill Aquatic & Recreation Centre,1520 NORTHMOUNT DR NW,BRE
City Park,Big Marlborough Park,6033 MADIGAN DR NE,MPK
Athletic Park,Woodbine Athletic Park,96 WOODFIELD DR SW,WBN
Cemetery,Union Cemetery,SPILLER RD SE & 27 AV SE,MNI
Arena,Stu Peppard Arena,5300 19 ST SW,GPK
Arena,Frank McCool Arena,1900 LAKE BONAVISTA DR SE,LKB
City Park,Bowmont Park,65 ST NW & 48 AV NW,SIL
Athletic Park,Shouldice Athletic Park,1515 HOME RD NW,MON
Arena,Stew Hendry/Henry Viney Arenas,814 13 AV NE,REN
City Park,Central Memorial Park,4 ST SW & 13 AV SW,BLN
City Park,Barclay Mall (Eau Claire Plaza),3 ST SW & RIVERFRONT AV SW,EAU
Indoor Pool,Killarney Aquatic & Recreation Centre,1919 29 ST SW,KIL
City Park,Shaw Millenium Park,9 AV SW & 11 ST SW,DNW
City Park,Haultain Park,225 15 AV SW,BLN
City Park,Sien Lok Park,RIVERFRONT AV SW & 1 ST SW,CHN
City Park,Inglewood Bird Sanctuary,2425 9 AV SE,ING
City Park,Edgemont Ravines,EDGEBROOK DR NW & EDGEBROOK BV NW,EDG
Indoor Pool,Acadia Aquatic & Fitness Centre,9009 FAIRMOUNT DR SE,ACA
City Park,Sandy Beach,4500 14A ST SW,ALT
City Park,Lowery Gardens,Between DOUGLAS FIR TR SW & THE PUMPHOUSE THEATRE,SHG
Cemetery,Chinese Cemetery,MACLEOD TR SW & 31 AV SW,ERL
Indoor Pool,Canyon Meadows Aquatic & Fitness Centre,89 CANOVA RD SW,CAN
City Park,Beaulieu Gardens,707 13 AV SW,BLN
City Park,McHugh Bluff Natural Park,"Along CRESCENT RD NW, between 10 ST NW & CENTRE ST N",RDL
Golf Course,Harvest Hills Golf Course,1450 HARVEST HILLS DR NE,HAR
Arena,Stampede Corral,10 ROUNDUP WY SE,BLN
Golf Course,Douglasdale Eaglequest Golf Course,7 DOUGLAS WOODS DR SE,DDG
Arena,Oakridge Community Association,9504 OAKFIELD DR SW,OAK
Arena,South Fish Creek Recreation Centre,333 SHAWVILLE BV SE,SHN
Outdoor Pool,Mount Pleasant Outdoor Pool,2310 6 ST NW,MOP
Indoor Pool,Saddletowne YMCA,7556 FALCONRIDGE BV NE,MRT
Indoor Pool,VRRI Recreation Centre,3304 33 ST NW,VAR
Arena,Crowchild Twin Arenas,189 SCENIC ACRES DR NW,SCE
Indoor Pool,Crowfoot YMCA,8100 JOHN LAURIE BV NW,ARB
Arena,Triwood Community Association,2244 CHICOUTIMI DR NW,CHW
Golf Course,Glencoe Golf & Country Club,636 29 AV SW,EPK
Golf Course,Inglewood Golf & Curling Club,34 AVE & BARLOW TR SE,DOV
Arena,Cardel Place,11950 COUNTRY VILLAGE LI NE,CHV
Golf Course,River Spirit Golf Club,W HWY 8 N RR 34 (Elbow Valley),06A
Golf Course,Heatherglen Golf Course,100 ST & GLENMORE TR SE,09K
Golf Course,McKenzie Meadows Golf Club,17215 MCKENZIE MEADOWS DR SE,FPK
Indoor Pool,Trico Centre for Family Wellness,11150 BONAVENTURE DR SE,WIL
Golf Course,Pinebrook Golf & Country Club,166 PINEBROOK WY SW (Elbow Valley),06A
Arena,Olympic Oval - University Of Calgary,184 UNIVERSITY GATE NW,UOC
Leisure Centre,Genesis Centre of Community Wellness,7556 FALCONRIDGE BV NE,MRT
Outdoor Pool,Millican-Ogden Outdoor Pool,6901 20A ST SE,OGD
Athletic Park,Ernest Manning Athletic Park,20 SPRINGBOROUGH BV SW,SPH
Arena,Lake Bonavista Community Centre,1401 ACADIA DR SE,LKB
Arena,West Hillhurst Communty Centre,1940 6 AV NW,WHL
Arena,Westside Recreation Centre,2000 69 ST SW,SIG
Arena,Thorncliffe Greenview Community Association,5600 CENTER ST NW,THO
Golf Course,Calgary Golf & Country Club,ELBOW DR & 59 AV SW,WND
Arena,Pengrowth Saddledome,555 SADDLEDOME RI SE,BLN
Golf Course,Springbank Links at Emerald Bay,125 HUCKAMORE TR (Springbank),01H
EMS Station,EMS Station 4,16 MONCTON RD NE,WIN
EMS Station,EMS Station Southgate 41,15100 MACLEOD TR SE,PKL
Outdoor Pool,South Glenmore Spray Park,9035 24 ST SW,GPK
EMS Station,EMS Station 20,2800 PEACEKEEPERS WY SW,LPK
EMS Station,EMS Station 31,11955 COUNTRY VILLAGE LI NE,CHV
EMS Station,EMS Station 2,1010 10 AV SW,BLN
EMS Station,EMS Headquarters,3705 35 ST NE,HOR
EMS Station,EMS Station 11,5536 4 ST SW,WND
EMS Station,EMS Station 3,1807 MACLEOD TR SE,BLN
Soccer,Calgary Soccer Centre,7000 48 ST SE,FHI
Sailing,Glenmore Sailing School,8415 24 ST SW,GPK
EMS Station,EMS Station 9,2515 78 AV SE,OGD
EMS Station,EMS Station 15,5010 BOWNESS RD NW,MON
EMS Station,EMS Station 34,9 ROYAL BIRCH HILL NW,ROY
EMS Station,EMS Station 33,7055 ELKTON DR SW,SPH
City Park,Nose Hill Natural Park,5620 14 ST NW,NPK
City Park,St. Patrick's Island Park,1300 ZOO RD NE,BRD
City Park,Griffith Woods Natural Park,36 DISCOVERY RIDGE BV SW,DIS
City Park,Glenmore Park (South),90 AV SW & 24 ST SW,GPK
City Park,Edworthy Park / Douglas Fir Trail,5050 SPRUCE DR SW,WLD
Arena,E.Whalen & J.Kryczka Arenas in Southland Leisure Cntr,2000 SOUTHLAND DR SW,PAL
Athletic Park,Glenmore Athletic Park,5300 19 ST SW,GPK
Indoor Pool,Beltline Aquatic & Fitness Centre,221 12 AV SW,BLN
Indoor Pool,Shouldice Aquatic Centre,5303 BOWNESS RD NW,MON
City Park,Carburn Natural Park,8925 15 ST SE,RIV
City Park,West Nose Creek Confluence Park,N of BEDDINGTON TR NW between HARVEST HILLS BV & DEERFOOT TR N,ABP
City Park,Ranchlands Natural Park,700 RANCHLANDS BV NW,RAN
City Park,Rouleauville Square,17 AV SW & 1 ST SW,MIS
Athletic Park,Renfrew Athletic Park,814 13 AV NE,REN
City Park,Century Gardens,8 AV SW & 8 ST SW,DNC
Indoor Pool,Bob Bahan Aquatic & Fitness Centre,4812 14 AV SE,FLN
City Park,Riley Park,800 12 ST NW,HIL
City Park,Pearce Estates Wetland,1440 17A ST SE,ING
Cemetery,Burnsland Cemetery,SPILLER RD SE & CEMETERY RD SE,MNI
City Park,Connaught Park,11 ST & 14 AV SW,BLN
Golf Course,Buffalo Run Golf Course,3700 ANDERSON RD SW,CED
Arena,East Calgary Twin Arenas,299 ERINWOOD DR SE,ERI
Leisure Centre,Trico Centre for Family Wellness,11150 BONAVENTURE DR SE,WIL
Arena,Acadia Recreation Centre,240 90 AV SE,ACA
Arena,Calgary Centennial Arenas,2390 47 AV SW,ALT
Golf Course,Country Hills Golf Club,1334 COUNTRY HILLS BV NW,PAN
Arena,Brentwood SportsPlex,NORTHMOUNT DR & 35 ST NW,BRE
Leisure Centre,Westside Recreation Centre,2000 69 ST SW,SIG
Arena,Bowness Community Centre,7809 43 AV NW,BOW
Golf Course,Bearspaw Golf & Country Club,61 HAMILTON DR (Bearspaw),ROC
Indoor Pool,University Of Calgary - Kinesiology Bldg B,10 UNIVERSITY GT NW,UOC
Leisure Centre,South Fish Creek Recreation Centre,100 333 SHAWVILLE BV SE,SHN
Golf Course,Country Club of the Hamptons,69 HAMPTONS DR NW,HAM
Indoor Pool,Shawnessy YMCA,333 SHAWVILLE BV SE,SHN
Golf Course,Fox Hollow Golf Course,999 32 AV NE,WIN
Arena,Fairview Community Association Arena,8038 FAIRMONT DR SE,FAI
Indoor Pool,Calgary Glencoe Club,636 29 AV SW,EPK
Outdoor Pool,Forest Lawn Outdoor Pool,1706 39 ST SE,FLN
Arena,Sarcee Seven Chiefs Sportsplex,3700 ANDERSON RD SW,
Outdoor Pool,Stanley Park Outdoor & Wading Pool,4011 1A STREET SW,PKH
Indoor Pool,SAIT,1301 16 AV NW,HIL
Outdoor Pool,Highwood Outdoor & Wading Pool,25 HOLMWOOD AV NW,HIW
Arena,Jack Setters Arena,2020 69 AV SE,OGD
Indoor Pool,Cardel Place,11950 COUNTRY VILLAGE LI NE,CHV
Leisure Centre,Cardel Place,11950 COUNTRY VILLAGE LI NE,CHV
Arena,SAIT Arena (Campus Centre),1414C SAIT WY NW,HIL
Outdoor Pool,Riley Park Wading Pool,800 12 ST NW,HIL
Outdoor Pool,Bowview Outdoor Pool,1910 6 AV NW,WHL
Golf Course,Elbow Springs Golf Club,GLENMORE TR SW (Elbow Valley),06A
EMS Station,EMS Station 17,3740 32 AV NW,VAR
