TYPE,NAME,ADDRESS,COMM_CODE
Community Centre,Brentwood Community Centre,5107 33 ST NW,BRE
Community Centre,Crescent Heights Community Centre,1101 2 ST NW,CRE
Community Centre,Bridgeland / Riverside Community Centre,917 Centre Av NE,BRD
Community Centre,Sunalta Community Centre,1627 10 AV SW,SNA
Community Centre,Hillhurst/Sunnyside Community Centre,1320 5 AV NW,HIL
Community Centre,Winston Heights/Mountview Community Centre,520 27 AV NE,WIN
Hospital,Rockyview General Hospital,7007 - 14 ST SW,EAG
Community Centre,Fairview Community Centre,8038 Fairmount DR SE,FAI
Community Centre,Parkhill/Stanley Park Community Centre,4013 Stanley RD SW,PKH
Community Centre,South Calgary Community Centre,3130 16 ST SW,SOC
Community Centre,"Palliser, Bayview, Pumphill Community Centre",2323 Palliser DR SW,PAL
Community Centre,Kingsland Community Centre,505 78 AV SW,KIN
Community Centre,Parkland Community Centre,505 Parkvalley RD SE,PKL
Community Centre,Millican/Ogden/Lynnwood Community Centre,6901 20A ST SE,OGD
Community Centre,Chinook Park/Kelvin Grove/Eagle Ridge Community Centre,1015 73 AV SW,KEL
Community Centre,Canyon Meadows Community Centre,848 Cantabrian DR SW,CAN
Community Centre,Highland Park Community Centre,3716 2 ST NW,HPK
Community Centre,Dalhousie Community Centre,5432 Dalhart RD NW,DAL
Community Centre,Saddle Ridge Community Centre,7614 42 ST NE,SRI
Social Dev Ctr,Bridgeland Place,736 MCDOUGALL CO NE,BRD
Community Centre,Southview Community Centre,2020 33 ST SE,SOV
Community Centre,Shaganappi Community Centre,2608 14 AV SW,SHG
Social Dev Ctr,Forest Lawn,3810 17 AV SE,FLN
Library,Saddletowne Library,7556 FALCONRIDGE BV NE,MRT
Court,Alberta Court of Appeal,2600 450 1 ST SW,DNC
Community Centre,Dover Community Centre,3033 30 AV SE,DOV
Hospital,Foothills Hospital,1403 - 29 ST NW,STA
Community Centre,Queensland / Diamond Cove Community Centre,649 Queensland DR SE,QLD
Community Centre,Glenbrook Community Centre,3524 45 ST SW,GBK
Social Dev Ctr,West Area,2539 33 AV SW,CFC
Community Centre,Ramsay Community Centre,1136 8 ST SE,RAM
Community Centre,Riverbend Community Centre,19 Rivervalley DR SE,RIV
Community Centre,Shawnessy Community Centre,224 Shawmeadows RD SW,SHN
Community Centre,Scenic Acres Community Centre,8825 Scurfield DR NW,SCE
Court,Alberta Provincial Court (Family),# 704-N 601 5 ST SW,DNC
Social Dev Ctr,South Area,502 HERITAGE DR SW,KIN
Court,Alberta Provincial Court (Criminal),# 402-S 601 5 ST SW,DNC
Community Centre,Glamorgan Community Centre,4207 41 AV SW,GLA
Community Centre,Cambrian Heights Community Centre,600 Northmount DR NW,CAM
Hospital,South Health Campus,4448 FRONT ST SE,SET
Community Centre,Crossroads Community Centre,1803 14 AV NE,MAL
Social Dev Ctr,North Area,905 30 AV NW,MOP
Court,Alberta Court of Queens Bench,# 604-N 601 5 ST SW,DNC
Community Centre,Lake Bonavista Community Centre,1401 Acadia DR SW,LKB
Community Centre,Arbour Lake Community Centre,12 Arbour Lake DR NW,ARB
Community Centre,Penbrooke Meadows Community Centre,6100 8 AV SE,PEN
Community Centre,West Hillhurst Community Centre,1940 6 AV NW,WHL
Community Centre,North Haven Community Centre,5003 North Haven DR NW,NHV
Community Centre,Acadia Community Centre,240 90 AV SE,ACA
Community Centre,Chaparral Residents Association,225 CHAPARRAL DR SE,CHA
Court,Alberta Provincial Court (Rural),# 401-S 601 5 ST SW,DNC
Community Centre,Strathcona/Christie Park Community Centre,277 Strathcona DR SW,STR
Community Centre,Edgemont Community Centre,33 Edgevalley CI NW,EDG
Community Centre,Mount Royal Community Centre,2317 10 ST SW,UMR
Community Centre,Lakeview Community Centre,6110 34 ST SW,LKV
Community Centre,Varsity Community Centre,4303 Varsity DR NW,VAR
Community Centre,Richmond/Knob Hill Community Centre,2433 26 AV SW,RIC
Community Centre,McKenzie Lake Community Centre,16198 McKenzie Lake WY SE,MCK
Community Centre,Oakridge Community Centre,9504 Oakfield DR SW,OAK
Community Centre,North Glenmore Park Community Centre,2231 Longridge DR SW,NGM
Community Centre,Killarney/Glengarry Community Centre,2828 28 ST SW,KIL
Community Centre,Willow Park / Mapleridge Community Centre,680 Acadia DR SE,MPL
Hospital,Peter Lougheed Medical Centre,3500 - 26 AV NE,SUN
Community Centre,Glendale/Glendale Meadows Community Centre,2405 Glenmount DR SW,GDL
Library,Nose Hill Library,1530 NORTHMOUNT DR NW,BRE
Library,Nicholls Family Library,1421 33 ST SW,RCK
Library,Bowness Library,7930 BOWNESS RD NW,BOW
Hospital,Alberta Children's Hospital,2888 Shaganappi Trail NW,UOC
Library,Southwood Library,924 SOUTHLAND DR SW,SOW
Library,Village Square Library,2623 56 ST NE,PIN
Library,Fish Creek Library,11161 BONAVENTURE DR SE,WIL
Library,Signal Hill Library,5994 SIGNAL HILL CT SW,SIG
Library,Louise Riley Library,1904 14 AV NW,HOU
Library,Memorial Park Library,1221 2 ST SW,BLN
Library,Alexander Calhoun Library,3223 14 ST SW,SOC
Community Centre,Temple Community Centre,167 Templegreen RD NE,TEM
Community Centre,Parkdale Community Centre,3512 5 AV NW,PKD
Community Centre,Southwood Community Centre,11 Sackville DR SW,SOW
Community Centre,Triwood Community Centre,2244 Chicoutimi DR NW,CHW
Community Centre,Meadowlark Park Community Centre,623 58 AV SW,MEA
Community Centre,Rosemont Community Centre,2807 10 ST NW,CAP
Community Centre,Woodcreek Community Centre,1991 Woodview DR SW,WOO
Community Centre,Cedarbrae Community Centre,11024 Oakfield DR SW,CED
Community Centre,Falconridge/Castleridge Community Centre,95 Falshire DR NE,FAL
Community Centre,Mid-Sun Community Centre,50 Midpark RI SE,MID
Community Centre,Elbow Park Community Centre,800 34 AV SW,EPK
PHS Clinic,Sheldon M. Chumir Health Centre,1213 - 4 ST SW,BLN
PHS Clinic,Shaganappi Complex Health Centre,3415 - 8 AV SW,SPR
PHS Clinic,Northwest Community Health Centre,109 1829 Ranchlands BV NW,RAN
PHS Clinic,South Calgary Health Centre,31 Sunpark Plaza SE,SDC
PHS Clinic,Village Square Community Health Centre,2623 - 56 ST NE,PIN
PHS Clinic,North Hill Community Health Centre,1527 19 ST NW,HOU
PHS Clinic,Acadia Community Health Centre,151 - 86 AV SE,ACA
PHS Clinic,East Calgary Health Centre,4715 8 AV SE,FLN
Library,Shawnessy Library,333 SHAWVILLE BV SE,SHN
Library,Crowfoot Library,8665 NOSE HILL DR NW,ARB
Library,Judith Umbach Library,6617 CENTRE ST N,HUN
Library,Forest Lawn Branch,4807 8 AV SE,FLN
PHS Clinic,Thornhill Community Health Centre,6617 Centre ST NW,HUN
Visitor Info,Tourism Calgary Tower,101 9 AV SW,DNC
Visitor Info,Tourism Calgary Central Office,200 238 11 AV SW,BLN
Visitor Info,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC
