ASSET_CD,OFF_LEASH_AREA_ID,CATEGORY,STATUS,DESCRIPTION,FENCING_INFO,PARCEL_LOCATION,STEWARD,MAINTAINED_BY,MAINT_INFO,OPENED_DT,CLOSED_DT,CLOSED_REASON,AGREEMENT_INFO,NOTES
BRE387,BRE-002,NEIGHBOURHOOD,OPEN,BRENTWOOD,,5307 BARRETT DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
FAI207,FAI-002,NEIGHBOURHOOD,OPEN,FAIRVIEW,SOUND WALL ADJACENT BLACKFOOT TR SE,128 FYFFE RD SE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
EDG124,EDG-002,NEIGHBOURHOOD,OPEN,EDGEMONT,,175 EDGEDALE DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
RAN161,RAN-001,COMMUNITY CLUSTER,OPEN,RANCHLANDS,PARTIAL CHAIN LINK FENCE ADJACENT JOHN LAURIE BV NW & SARCEE TR NW; REVIEW USE WITH NATURAL AREAS BIOLOGIST,200 RANCH ESTATES DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
CAM811,CAM-001,NEIGHBOURHOOD,OPEN,CAMBRIAN HEIGHTS,NO FENCE ALONG JOHN LAURIE BV NW OR 14 ST NW,1407 JOHN LAURIE BV NW,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,20110211,,,,
RAM415,RAM-001,NEIGHBOURHOOD,OPEN,RAMSAY (STAMPEDE PATHWAY & SCOTMAN'S HILL),,811 MACDONALD  AV SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
MON219,MON-001,NEIGHBOURHOOD,OPEN,MONTGOMERY,PARTIAL CHAIN LINK FENCE ADJACENT SHAGANAPPI TR NW,3225 MACKAY RD NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BRE429,BRE-001,NEIGHBOURHOOD,OPEN,BRENTWOOD,PARTIAL CHAIN LINK FENCE ADJACENT TO JOHN LAURIE BV NW,3387R BRETON CL NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HOU479,HOU-001,NEIGHBOURHOOD,OPEN,HOUNSFIELD HEIGHTS BRIAR HILL,,1015 14 ST NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
EYA355,EYA-001,NEIGHBOURHOOD,OPEN,ELBOYA,,521 LANSDOWNE DR SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
OGD797,OGD-001,NEIGHBOURHOOD,OPEN,OGDEN,,1003 LYSANDER DR SE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
CHW428,CHW-001,COMMUNITY CLUSTER,OPEN,CHARLESWOOD,PARTIAL CHAIN LINK FENCE ADJACENT JOHN LAURIE BV NW,4735 CHARLESWOOD DR NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SAN646,SAN-001,NEIGHBOURHOOD,OPEN,SANDSTONE VALLEY,PARTIAL CHAIN LINK FENCE ADJACENT COUNTRY HILLS BV NW,24 SANDERLING CL NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
WIL155,WIL-001,NEIGHBOURHOOD,OPEN,WILLOW PARK,PARTIAL CHAIN LINK FENCE ADJACENT ANDERSON RD SE,607 WILLACY DR SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HAY236,HAY-001,NEIGHBOURHOOD,OPEN,HAYSBORO,FENCED ADJACENT LRT & TRAIN TRACKS,328 HADDON RD SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
HUN675,HUN-004,NEIGHBOURHOOD,OPEN,HUNTINGTON HILLS,,7540R HUNTERVIEW DR NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
REN691,REN-001,COMMUNITY CLUSTER,OPEN,RENFREW & BRIDGELAND_RIVERSIDE (BOTTOMLANDS PARK),,1638 CENTRE AV NE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SSW172,SSW-001,NEIGHBOURHOOD,OPEN,2013/01/14:OLIVER QUARRY PARK; PRIOR TO 2013SCARBORO OR (SUNALTA RAVINE),FENCED ADJACENT CROWCHILD TR SW ONLY,1616 22 ST SW,CALGARY PARKS,CALGARY PARKS,NAME CHANGE APPROVED 2012/12/17-OLIVER QUARRY PARK,19881208,,,,
HUN728,HUN-001,COMMUNITY CLUSTER,OPEN,HUNTINGTON HILLS,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG NOSE HILL DR NW,1459R HUNTERBROOK RD NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SCA861,SCA-001,NEIGHBOURHOOD,OPEN,SCARBORO (TRIANGLE PARK),,1628 SHELBOURNE ST SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
PKL653,PKL-001,COMMUNITY CLUSTER,OPEN,PARKLAND,NO FENCE ALONG BOW BOTTOM TR SE,14220 PARKLAND BV SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
RIC967,RIC-001,NEIGHBOURHOOD,OPEN,RICHMOND,SOUND WALL ADJACENT CROWCHILD TR SW,2001 22 ST SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
HAW147,HAW-001,COMMUNITY CLUSTER,OPEN,HAWKWOOD,PARTIAL CHAIN LINK FENCE ADJACENT SARCEE TR NW,15R HAWKHILL ME NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
ING025,ING-001,NEIGHBOURHOOD,OPEN,INGLEWOOD,,2230 16 ST SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
EDG120,EDG-001,NEIGHBOURHOOD,OPEN,EDGEMONT,NO FENCE ALONG EDGEMONT BV NW,91 EDGEPARK BV NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
GLA623,GLA-001,NEIGHBOURHOOD,OPEN,GLAMORGAN,FENCED ADJACENT 37 ST SW,4015 37 ST SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
COL389,COL-001,NEIGHBOURHOOD,OPEN,COLLINGWOOD (CONSTABLE SLOPE),,1924 CANBERRA RD NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
STA506,STA-001,COMMUNITY CLUSTER,OPEN,ST.ANDREWS HEIGHTS & WEST HILLHURST (PARKDALE HILLSIDE),SOUND WALL ADJACENT CROWCHILD TR NW,2840 8 AV NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SNA134,SNA-001,NEIGHBOURHOOD,OPEN,SUNALTA (SHAW MILLENIUM PARK),LIMITED FENCING; INTERCHANGE- REQUIRES CROSSING SEVERAL STREETS,1526 9 AV SW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
REN786,REN-002,COMMUNITY CLUSTER,OPEN,RENFREW,,936 ROBERT RD NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HAW163,HAW-002,NEIGHBOURHOOD,OPEN,HAWKWOOD,,100 HAWKWOOD HL NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BOW186,BOW-001,NEIGHBOURHOOD,CLOSED,BOWNESS,,7783R BOWCLIFFE CR NW,CALGARY PARKS,CALGARY PARKS,,19881208,20140530,UNSAFE AS PER CORPORATE RISK MANAGMENT,,SEE PDF AND EMAIL IN AGREEMENTS
THO674,THO-003,NEIGHBOURHOOD,OPEN,THORNCLIFFE,,6227 TOUCHWOOD DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BDO566,BDO-001,COMMUNITY CLUSTER,OPEN,BONAVISTA DOWNS,PARTIAL CHAIN LINK FENCE ADJACENT ANDERSON RD SE; NOT PARTIAL CHAIN LINK FENCE ADJACENT BOW BOTTOM TR SE,1138R LAKE HURON CR SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SCA929,SCA-002,NEIGHBOURHOOD,OPEN,SCARBORO,PARTIAL CHAIN LINK FENCE ADJACENT CROWCHILD TR SW,1521 SUMMIT ST SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
ING226,ING-002,NEIGHBOURHOOD,OPEN,INGLEWOOD,,2255 15A ST SE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
ALB824,ALB-001,COMMUNITY CLUSTER,OPEN,ALBERT PARK RADISSON HEIGHTS,PARTIAL CHAIN LINK FENCE ADJACENT TO DEERFOOT TRAIL,2204 17 AV SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
DRG546,DRG-001,COMMUNITY CLUSTER,OPEN,DEER RIDGE & DEER RUN,NO FENCE ALONG CANYON MEADOWS DR SE,14620 DEER RIDGE DR SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SCE436,SCE-001,NEIGHBOURHOOD,OPEN,SCENIC ACRES,,61 SCOTIA PT NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
MRL555,MRL-001,COMMUNITY CLUSTER,OPEN,MARLBOROUGH,PARTIAL CHAIN LINK FENCE ADJACENT 16 AV NE,16 AV NE BUFFER 36 ST TO 52 ST NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SCE435,SCE-002,NEIGHBOURHOOD,OPEN,SCENIC ACRES,,8611  CROWCHILD TR NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
OGD801,OGD-005,NEIGHBOURHOOD,OPEN,OGDEN,SOUND WALL ADJACENT GLENMORE TR SE,1520 OLYMPIA DR SE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
KIN018,KIN-001,NEIGHBOURHOOD,OPEN,KINGSLAND,"FENCED ADJACENT LRT & TRAIN TRACKS, PARALLEL MACLEOD TR S",499 78 AV SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HUN676,HUN-002,NEIGHBOURHOOD,OPEN,HUNTINGTON HILLS,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG BEDDINGTON BV NW,8075 CENTRE ST NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
THO762,THO-006,COMMUNITY CLUSTER,OPEN,THORNCLIFFE & SKYLINE WEST & GREENVIEW (LAYCOCK PARK),NO FENCE ALONG 16 AV NE,448 BEAVER DAM RD NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
