TYPE,NAME,ADDRESS,BOARD,GRADES,SUBCATEGOR
Private School,Rundle College Senior High,7375 17 AV SW,Rundle College Society,Senior High,
Private School,Rundle College Junior High,7375 17 AV SW,Rundle College Society,Junior High,
Private School,The Chinese Academy,6620 4 ST NW,The Chinese Academy Foundation,Senior High,
ECS Private Operator,Hounsfield Heights - Briar Hill Community Kindergarten,1233 21 ST NW,Hounsfield Heights-Briar Hill Community Association,ECS,
Private School,Canadian Montessori School West,1112 70 AV SW,The Canadian Montessori School Ltd.,Unknown,
Private School,Canadian Montessori School North,1112 70 AV SW,The Canadian Montessori School Ltd.,Unknown,
Private School,Canadian Montessori,1112 70 AV SW,The Canadian Montessori School Ltd.,Elementary,
Private School,Janus Academy (Holy Cross Site),2223 SPILLER RD SE,Janus Academy Society,Junior High/Senior High,
Private School,Janus Academy,2223 SPILLER RD SE,Janus Academy Society,Elementary/Junior High,
Separate School,St. Sebastian ,65 CHAPARRAL DR SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Elizabeth Seton ,10845 HIDDEN VALLEY DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Public School,Twelve Mile Coulee,65 TUSCANY HILLS RD NW,Calgary School District No. 19,GR4-9,
Public School,Dr. E. W. Coffin,5615 BARRETT DR NW,Calgary School District No. 19,GRK-6,
Public School,Renfrew,1210 RUSSET RD NE,Calgary School District No. 19,SPECIALTY,
Public School,University,3015 UTAH DR NW,Calgary School District No. 19,GRK-6,
Public School,Monterey Park,7400 CALIFORNIA BV NE,Calgary School District No. 19,GRK-6,
Public School,F. E. Osborne,5225 VARSITY DR NW,Calgary School District No. 19,GR7-9,
Public School,Captain John Palliser,1484 NORTHMOUNT DR NW,Calgary School District No. 19,GRK-6,
Public School,David Thompson,9603 5 ST SE,Calgary School District No. 19,GR5-9,
Public School,Huntington Hills,820 64 AV NW,Calgary School District No. 19,GRK-6,
Public School,W. O. Mitchell,511 SILVERGROVE DR NW,Calgary School District No. 19,GRK-6,
Public School,Dr. Gordon Higgins,155 RUNDLEHILL DR NE,Calgary School District No. 19,GR7-9,
Public School,Thorncliffe,5646 THORNTON RD NW,Calgary School District No. 19,GRK-6,
