LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 6,6,2011,,77296,30384,7042,0,39283,23971,0,0,18229,2270,47,4887,4671,0,273,0,0,1,5,1,0,0,8,4618,2506,7251,258,0,3,0,215,17,366,25,0,33,1,2183,1671,4831,63,18,5,0,0,0,0,0,0,0,0,37,0,92,10,0,0,0,7,0,459,0,0,0,7,4356,3290,8905,166,82,60,30,17574,16487,55392,366,246,13,7,6527,9215,4864,7622,762,37553,39743,2839,5344,2604,2157,4394,6663,6364,3847,1945,1396,2652,5249,2449,2126,5161,7427,6635,3745,2272,2027,5491,10593,5053,4283,9555,14090,12999,7592,4217,3423,40707000.77620000000,28043.12054760000
WARD 12,12,2011,,73416,27512,8674,0,43070,23046,0,0,22062,1370,13,1598,2364,7,23,0,0,71,2,0,2,0,9,1385,975,2353,52,152,0,0,16,0,28,1,0,6,15,1261,1093,2849,17,77,0,0,6,2,13,0,0,1,0,13,13,33,0,0,0,1,62,1,350,10,0,2,13,2028,1506,4135,82,236,5,101,21017,19456,63655,353,575,16,75,3564,8736,5339,7445,704,36993,36423,3664,5286,2081,1868,7552,7257,5041,2772,1047,425,3411,5137,1918,1907,7952,6929,4826,2740,1017,586,7075,10423,3999,3775,15504,14186,9867,5512,2064,1011,124581204.36700000000,56231.00162019990
WARD 1,1,2011,,83125,33605,6911,0,42149,23713,0,0,20982,2088,65,5350,3797,503,766,6,10,10,6,13,9,0,12,4805,1399,8142,235,298,0,2,594,44,1058,88,0,82,2,1963,1163,4671,99,20,4,0,475,446,934,27,0,1,0,62,9,93,3,0,0,0,42,2,1660,8,1,3,1,3527,2023,7357,218,48,3,8,20397,18627,59210,479,73,25,54,7108,11306,5316,7470,665,40938,42187,2684,4913,2747,3407,5849,6704,6058,4498,2388,1690,2810,4818,2629,3240,6008,6802,6122,4516,2680,2562,5494,9731,5376,6647,11857,13506,12180,9014,5068,4252,58851485.90820000000,55287.53471870000
WARD 10,10,2011,,73864,29269,5914,0,37283,16568,0,0,15799,2538,98,3080,4136,1035,2548,0,20,6,2,3,4,0,5,2888,800,5279,183,0,4,1,1848,123,3438,342,2,355,2,2362,1126,6895,155,10,9,0,981,860,1947,54,0,0,0,91,8,162,2,4,4,0,32,8,469,2,0,1,2,3837,1501,10926,297,0,0,5,15259,12142,44748,512,8,15,35,5815,9245,5138,5767,1333,38143,35721,2304,4373,2337,2731,5892,6460,6628,3942,2248,1228,2399,4340,2129,2486,5701,5660,5503,3582,2398,1523,4703,8713,4466,5217,11593,12120,12131,7524,4646,2751,55711700.79430000000,36272.42618460000
WARD 5,5,2011,,77648,26021,6670,0,39054,16841,0,0,16419,2869,1,1421,3424,302,1561,2,1,1,3,1,16,0,1,1304,356,2396,116,0,0,1,1101,68,2451,205,1,253,0,2756,1697,8262,109,1,3,0,292,286,511,8,2,0,0,1,0,6,0,0,0,1,16,2,445,7,0,0,1,3261,1415,9172,160,1,1,3,15849,13017,54405,538,2,27,24,3501,7020,4901,6939,2219,39215,38433,2626,5329,2905,2908,5873,6212,6120,4184,2091,967,2622,5130,2655,2843,5995,5952,5664,4154,2115,1303,5248,10459,5560,5751,11868,12164,11784,8338,4206,2270,34562082.49320000000,26996.89657580000
WARD 13,13,2011,,80332,29981,6709,0,44390,24498,0,0,21395,1252,3,3946,3222,3,153,0,1,1,3,1,1,0,3,3352,2167,5805,314,270,7,1,130,12,217,12,0,10,1,1200,997,2740,35,16,0,0,1,0,1,1,0,1,0,3,3,7,0,0,0,1,5,1,469,0,0,1,2,3078,2109,6706,117,21,4,10,20970,19209,64387,343,62,10,7,4834,9593,5752,7587,973,39912,40420,2682,5185,2983,2912,5735,6701,6530,4184,1934,1066,2609,5061,2562,2606,5936,7036,6657,4335,2103,1515,5291,10246,5545,5518,11671,13737,13187,8519,4037,2581,50934283.58350000000,36193.09191220000
WARD 14,14,2011,,71251,26586,4814,0,37728,21823,0,0,20221,1489,17,2197,2536,3,112,1,0,2,4,0,4,0,7,2067,978,3155,115,0,8,0,86,8,146,10,0,16,6,1405,1120,3433,41,34,3,0,3,2,4,0,0,0,0,16,0,41,1,0,0,0,9,1,717,2,0,0,3,2357,1396,5341,151,21,4,33,19689,18318,58414,297,190,12,11,4163,9108,4666,7025,670,35659,35592,1999,4751,2840,2528,4164,5060,6132,4486,2392,1307,1748,4594,2574,2250,4040,5292,6356,4462,2549,1727,3747,9345,5414,4778,8204,10352,12488,8948,4941,3034,68796103.60040000000,45902.52484380000
WARD 7,7,2011,,76493,39693,4103,0,41016,18655,0,0,17562,2873,291,13339,2656,0,2826,3,87,11,8,2,35,0,88,11362,2958,16915,1034,537,318,12,2015,73,3133,278,0,521,2,2632,1475,6423,159,60,20,0,0,0,0,0,0,0,0,280,12,398,11,0,0,4,102,39,3371,35,0,5,4,2464,1245,5108,154,34,0,46,16546,12853,41145,748,170,52,146,13137,12939,4608,4396,321,39200,37293,1703,2670,1832,4021,8005,5863,5830,4432,2394,2450,1658,2557,1715,3568,6905,5267,5312,4013,2605,3693,3361,5227,3547,7589,14910,11130,11142,8445,4999,6143,30854699.15090000000,36443.47860630000
WARD 3,3,2011,,89863,28754,10602,0,46429,22835,0,0,22482,1306,139,2353,1869,4,591,0,1,0,2,0,7,0,3,2154,1310,3893,93,103,0,0,450,45,1174,57,3,81,12,1186,1000,3123,22,86,0,0,4,2,7,0,0,0,4,97,34,177,5,33,33,0,5,0,197,5,0,0,6,1671,1240,3915,96,96,0,42,21554,19204,77377,500,368,18,10,3234,6730,5324,9394,2439,45263,44600,4230,7563,2975,2518,8289,9051,5602,2885,1486,664,4038,7185,2576,2616,9166,8609,5004,2988,1619,799,8268,14748,5551,5134,17455,17660,10606,5873,3105,1463,122117973.69900000000,56598.42452370000
WARD 4,4,2011,,84510,32864,5516,0,45501,23327,0,0,21581,2825,47,2394,4623,126,1259,0,4,3,1,0,1,0,8,2166,606,3315,196,15,9,2,906,41,1450,173,1,177,2,2672,1487,6907,133,11,7,0,120,112,236,3,0,3,0,39,5,72,8,0,0,1,6,0,142,2,0,0,4,4437,2331,10556,180,0,2,9,21107,18745,61832,444,5,16,9,6275,10391,6210,7643,934,42196,42314,2222,4996,3094,3304,5569,6274,7551,5159,2445,1582,2153,4811,2873,3039,5420,6449,7675,5117,2610,2167,4375,9807,5967,6343,10989,12723,15226,10276,5055,3749,44431111.55150000000,38368.05482410000
