LABEL,WARD_NUM,ALDERMAN,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 14,14,PETER DEMONG,2014,,76426,28572,5572,0,0,23280,0,0,21340,1717,17,2342,2988,4,149,3,0,2,6,0,4,0,12,2128,898,3311,57,144,1,0,126,12,241,13,1,9,8,1622,1329,4061,29,57,1,1,3,1,7,0,0,0,0,17,1,48,0,0,0,0,13,2,886,0,1,1,10,2764,1694,6330,55,159,0,43,20763,19343,61542,279,248,7,15,4400,9752,5234,7251,799,37898,38528,2220,4985,2669,2590,4642,5510,5958,4904,2800,1620,2284,4678,2479,2327,4788,5766,6147,5072,2882,2105,4504,9663,5148,4917,9430,11276,12105,9976,5682,3725,68796101.58,45902.49402
WARD 13,13,DIANE COLLEY-URQUHART,2014,,84258,30280,6687,0,0,24579,0,0,21605,1269,3,3954,3221,3,219,0,0,1,3,1,1,0,11,3678,2130,6757,82,179,4,0,195,26,409,18,0,6,1,1246,1012,2922,20,0,2,1,2,0,2,0,0,0,0,3,3,11,0,0,0,1,5,0,480,0,0,0,6,3132,2050,7169,80,1,2,4,21324,19358,66508,237,30,10,6,4671,9820,6013,7945,1136,41638,42620,2592,5585,2928,2797,5902,6999,6389,4758,2463,1225,2773,5320,2539,2531,6020,7385,6715,4866,2801,1670,5365,10905,5467,5328,11922,14384,13104,9624,5264,2895,50934282.3,36193.08547
WARD 12,12,SHANE KEATING,2014,,94933,35342,11684,0,0,28730,0,0,26294,1798,13,2958,4141,6,44,0,0,83,3,0,2,0,10,2510,1524,4427,67,370,1,1,37,1,79,5,0,1,6,1689,1385,4080,30,73,0,0,3,1,7,3,0,0,0,13,5,33,0,0,0,4,74,3,390,8,2,0,27,3685,2697,7735,89,339,1,95,25135,23114,78182,318,742,4,88,4449,11206,6980,9501,1010,47073,47860,4498,6910,2479,2396,9553,9212,5958,3704,1617,746,5227,6556,2378,2259,10220,9212,5869,3789,1674,676,9725,13466,4857,4655,19773,18424,11827,7493,3291,1422,124581210.4,56230.60323
WARD 6,6,RICHARD POOTMANS,2014,,84803,32153,7474,0,0,25374,0,0,19562,2324,48,5004,4919,2,284,0,0,1,8,1,0,0,14,4767,2418,7792,118,102,3,1,226,18,434,27,0,30,1,2281,1720,5093,30,7,5,0,1,1,4,1,0,0,0,48,2,125,0,0,0,0,10,1,705,0,0,0,8,4656,3460,9821,140,41,74,23,18948,17754,60829,303,270,18,10,6236,9831,5523,8461,886,40688,44115,2688,6047,2798,2402,4902,6950,6581,4511,2311,1498,3259,5938,2565,2328,5720,7867,6997,4604,2580,2257,5947,11985,5363,4730,10622,14817,13578,9115,4891,3755,40833537.2,28358.39793
WARD 7,7,DRUH FARRELL,2014,,81989,40599,5035,0,0,19008,0,0,17342,3310,303,14146,2655,1,2702,18,69,14,8,3,28,0,262,12676,3031,19130,504,485,219,4,2276,112,3707,234,10,178,4,3059,1847,7820,98,141,8,1,0,0,0,0,0,0,1,293,17,423,8,1,1,3,123,31,3318,14,0,0,7,2565,1196,5519,62,16,5,54,16498,12774,42072,535,215,40,140,13323,13990,5060,4721,395,41261,40728,1780,2891,1893,4138,9005,6315,5244,4886,2626,2483,2537,2910,1577,3680,7905,6061,4916,4744,2852,3546,4317,5801,3470,7818,16910,12376,10160,9630,5478,6029,30868363.09,36597.31573
WARD 10,10,ANDRE CHABOT,2014,,78443,29933,6308,0,0,16294,0,0,15804,2533,99,3453,4141,975,2892,0,20,7,2,3,4,0,4,3014,726,5614,84,250,101,12,2317,113,4566,298,2,263,1,2443,1133,7263,84,0,5,2,948,847,1899,25,0,0,0,89,8,166,4,4,4,4,29,5,475,3,0,0,7,4028,1496,11826,102,3,1,17,15499,11966,46634,274,7,7,36,5645,9411,5663,6186,1462,40624,37819,2431,4587,2307,2901,6794,6783,6594,4534,2403,1290,2786,4312,2096,2555,6343,6041,5468,4066,2589,1563,5217,8899,4403,5456,13137,12824,12062,8600,4992,2853,55711700.68,36272.42615
WARD 3,3,JIM STEVENSON,2014,,96133,29943,10588,0,0,23421,0,0,20940,1555,96,3629,2678,4,1027,0,2,2,3,1,6,0,7,3245,2060,6326,88,287,2,0,904,97,2481,66,0,57,4,1486,1204,4189,10,55,0,1,1,0,1,2,0,0,0,93,34,214,3,0,0,1,11,2,389,2,0,0,4,2271,1634,5799,46,356,1,28,20410,18390,76734,170,316,16,14,3034,6988,5573,10132,2694,47683,48450,4135,7847,3074,2753,9010,9099,5953,3334,1792,686,4580,7445,2785,2749,9827,9126,5497,3533,1949,959,8715,15292,5859,5502,18837,18225,11450,6867,3741,1645,119325471.6,59438.5177
WARD 5,5,RAY JONES,2014,,96489,30335,8899,0,0,19699,0,0,19964,2919,1,1421,3549,301,2156,2,1,1,3,1,16,0,2,1398,326,2698,21,0,0,5,1714,143,4164,191,1,245,1,2861,1683,8926,54,1,2,0,299,290,532,2,0,0,0,1,0,4,0,0,0,2,16,1,425,6,0,0,2,3451,1486,10063,75,18,3,9,19599,15770,69677,335,9,12,24,3676,7805,5802,9108,2947,48990,47499,3263,6636,3265,3800,8359,7911,6667,5165,2912,1012,3850,6214,3012,3218,8145,7373,6281,5101,2996,1309,7113,12850,6277,7018,16504,15284,12948,10266,5908,2321,37269935.94,29850.46792
WARD 11,11,BRIAN PINCOTT,2014,,82041,36608,5438,0,0,22706,0,0,17838,2925,258,9639,5172,0,726,1,18,13,12,0,6,0,38,9183,2429,14863,249,132,37,1,584,39,994,85,1,55,1,2767,1687,6738,87,68,2,0,0,0,0,0,0,0,0,254,18,533,0,4,4,2,40,6,1934,8,0,0,3,5040,3203,11006,108,16,5,17,17100,15324,45973,447,174,100,50,10386,12950,5274,5822,535,39958,42083,2112,3822,2073,2947,6437,6195,5784,5038,3000,2550,2409,3731,1975,2825,6277,6231,5925,5061,3565,4084,4521,7553,4048,5772,12714,12426,11709,10099,6565,6634,42506215.98,29982.30189
WARD 9,9,GIAN-CARLO CARRA,2014,,76481,36388,5440,0,0,19672,0,0,17714,2978,49,9363,3243,455,2469,3,68,19,9,1,17,0,50,8692,2242,14319,308,310,3,12,1944,97,3020,314,10,189,2,2816,1531,7292,90,65,5,0,398,363,685,11,0,46,0,38,12,88,3,8,8,16,86,16,2103,12,0,3,10,3098,1938,6858,65,29,41,57,16966,13473,42116,466,98,127,117,10981,13078,5041,4339,599,38322,38159,1996,3025,1650,2481,7537,6431,6197,5011,2335,1659,2669,2911,1458,2376,7250,6067,5650,4485,2589,2704,4665,5936,3108,4857,14787,12498,11847,9496,4924,4363,84167907.15,55960.72077
WARD 2,2,JOE MAGLIOCCA,2014,,83609,28918,7555,0,0,24150,0,0,21979,1038,204,2362,2880,309,136,0,0,1,4,5,0,0,2,2155,1275,3716,42,163,0,0,118,13,216,13,0,5,0,1000,861,2383,10,28,0,0,299,290,486,10,0,0,0,138,120,295,14,52,52,0,7,0,1638,0,3,0,5,2681,1869,6175,66,125,3,66,21266,19722,68700,230,404,13,10,3638,8474,5974,8410,1167,41398,42211,2816,5368,2793,2931,6608,7091,6319,4296,2067,1109,3442,5425,2598,2603,6763,7283,6256,4345,2156,1340,6258,10793,5391,5534,13371,14374,12575,8641,4223,2449,69004818.59,40405.14031
WARD 1,1,WARD SUTHERLAND,2014,,87605,34573,6895,0,0,24114,0,0,21267,2186,62,5885,3863,500,756,8,8,9,6,14,9,0,16,5249,1329,9348,112,504,4,2,670,55,1222,61,0,23,3,2112,1239,5193,29,39,3,1,486,450,953,11,0,2,0,62,3,142,0,0,0,1,43,0,1826,5,3,2,1,3700,2072,7937,153,5,4,19,20853,18966,60984,279,104,12,54,6926,11883,5827,7830,707,43365,44240,2552,5456,2802,3786,6268,6826,5988,4904,2807,1976,2994,5120,2603,3338,6269,7269,5990,4931,3161,2565,5546,10576,5405,7124,12537,14095,11978,9835,5968,4541,58704326.91,55609.16678
WARD 8,8,EVAN WOOLLEY,2014,,85609,51569,4905,0,0,17605,0,0,8907,2444,228,35389,2473,0,1988,13,80,15,9,2,21,0,649,32317,8687,50447,1228,1137,58,23,1608,74,2542,213,9,135,3,2205,1311,5407,100,129,7,0,0,0,0,0,0,0,0,214,45,361,10,4,4,10,97,7,1333,26,4,3,14,2244,1094,4646,97,44,74,52,8358,6387,20873,344,136,17,140,21713,17709,4254,3129,235,43118,42491,1666,2225,1127,3212,14170,8416,5375,3907,1808,1212,2572,2051,1051,3594,14121,7181,4657,3456,1979,1829,4238,4276,2178,6806,28291,15597,10032,7363,3787,3041,20957524.53,29499.16016
WARD 4,4,SEAN CHU,2014,,86375,33010,6024,0,0,23150,0,0,21564,2859,53,2483,4610,126,1308,0,3,2,1,0,1,0,4,2244,628,3620,136,91,8,2,1040,61,1835,157,1,108,6,2772,1467,7372,54,20,7,0,121,110,234,5,0,0,0,50,2,89,3,0,0,0,6,0,144,1,0,0,4,4498,2247,11145,103,0,5,12,21286,18635,61936,246,10,10,7,5866,11258,6356,7498,1038,42889,43486,2220,4917,2819,3173,6224,6142,7095,5762,2909,1628,2687,4605,2583,2783,5809,6579,7232,5917,3080,2211,4907,9522,5402,5956,12033,12721,14327,11679,5989,3839,44431128.37,38367.88449
