Community,LONGITUDE,LATITUDE
01B,-114.2417642,51.10317979
01C,-114.2352452,51.08500828
01E,-114.2053688,51.07954807
01F,-114.2633261,51.11261998
01G,-114.2720596,51.10547637
02A,-114.2227363,51.16874184
02B,-114.1994039,51.17602634
02C,-114.1808078,51.17540682
02E,-114.199368,51.16143529
02F,-114.1756776,51.16001732
02K,-114.1797025,51.18978131
02L,-114.1120807,51.19782436
03I,-113.929132,51.1689353
03V,-113.9164545,51.12531719
03W,-114.0256421,51.19796896
05B,-113.9154187,51.10365178
05C,-113.9158986,51.08079682
06A,-114.2302772,51.05314441
06B,-114.1943796,51.07777136
09D,-114.0113576,51.01184632
09H,-114.015135,51.00589566
09K,-113.9160051,50.99420707
09N,-113.9128904,50.97624537
10A,-113.8942638,51.04946324
10B,-113.9332848,51.02254436
10C,-113.8886709,51.02694461
12A,-113.8915332,50.9642388
12B,-113.8963406,50.94015519
12C,-113.8897512,50.91674572
12J,-113.8828314,50.88309134
13A,-114.1981936,50.91413445
13D,-114.1461366,50.91388356
13G,-114.1413094,50.89761908
14U,-114.0051847,50.87136073
14V,-114.0607915,50.86346787
ABBEYDALE,-113.9285726,51.0592975
ACADIA,-114.0543084,50.97136895
ALBERT PARK/RADISSON HEIGHTS,-113.9995535,51.04123323
ALTADORE,-114.1049584,51.01560457
ALYTH/BONNYBROOK,-114.0252585,51.02333002
APPLEWOOD PARK,-113.9272208,51.04528085
ARBOUR LAKE,-114.2036473,51.13351603
ASPEN WOODS,-114.2095503,51.04395035
AUBURN BAY,-113.9577246,50.89308437
AURORA BUSINESS PARK,-114.0564629,51.13628987
BANFF TRAIL,-114.1132591,51.0741531
BANKVIEW,-114.1006557,51.03406894
BAYVIEW,-114.1122381,50.97364175
BEDDINGTON HEIGHTS,-114.0792149,51.12962676
BEL-AIRE,-114.0885683,50.99939958
BELTLINE,-114.0687569,51.04097418
BONAVISTA DOWNS,-114.0310947,50.94460202
BOWNESS,-114.196054,51.08751542
BRAESIDE,-114.106329,50.9559527
BRENTWOOD,-114.1327195,51.09566294
BRIDGELAND/RIVERSIDE,-114.0344091,51.04989093
BRIDLEWOOD,-114.1102033,50.89939462
BRITANNIA,-114.0847607,51.01274746
BURNS INDUSTRIAL,-114.0367142,51.0003501
CALGARY INTERNATIONAL AIRPORT,-114.0069178,51.12049568
