SECNAME,ROADCLASS,Shape_Leng,YEAR_VOL,VOLUME
100AVNE1,Industrial Arterial,804.3530062,2015,4000
106AVSE1,Industrial Arterial,507.3208691,2015,17000
106AVSE2,Industrial Arterial,1102.745364,2015,14000
10AVCON1,Skeletal Road,593.0108638,2015,7000
10AVCON2,Arterial Street,125.0195713,2015,13000
10AVCON3,Arterial Street,176.8105198,2015,23000
10AVCON4,Arterial Street,159.8549591,2015,13000
10AVS1,Arterial Street,410.8421728,2015,10000
10AVS10,Arterial Street,170.7470334,2015,10000
10AVS11,Arterial Street,172.5697332,2015,6000
10AVS2,Arterial Street,308.3429034,2015,12000
10AVS3,Arterial Street,211.6742371,2015,12000
10AVS4,Arterial Street,345.7895911,2015,12000
10AVS5,Arterial Street,172.0843103,2015,12000
10AVS6,Arterial Street,175.5114062,2015,11000
10AVS7,Arterial Street,237.6243422,2015,11000
10AVS8,Arterial Street,173.0337224,2015,10000
10AVS9,Arterial Street,175.5197284,2015,12000
10STW1,Urban Boulevard,1121.36134,2015,15000
10STW2,Neighbourhood Blvd,340.4580331,2015,12000
10STW3,Neighbourhood Blvd,172.2661643,2015,15000
10STW4,Parkway,60.37422864,2015,16000
10STW5,Arterial Street,281.179676,2015,20000
112AVNW1,Arterial Street,1571.23874,2015,8000
112AVNW1A,Arterial Street,405.0730374,2015,16000
112AVNW2,Arterial Street,2328.389347,2015,7000
114AVSE1,Industrial Arterial,1581.364058,2015,20000
114AVSE1A,Arterial Street,166.1155184,2015,6000
114AVSE2,Industrial Arterial,661.2519649,2015,25000
114AVSE3,Industrial Arterial,969.1052465,2015,18000
114AVSE4,Industrial Arterial,2705.96248,2015,17000
114AVSE5,Industrial Arterial,576.4652984,2015,7000
11AVS0,Arterial Street,625.0298497,2015,6000
11AVS1,Arterial Street,142.2942747,2015,7000
11AVS10,Arterial Street,173.0335193,2015,18000
11AVS11,Arterial Street,175.5198433,2015,17000
11AVS12,Arterial Street,170.7470163,2015,16000
11AVS13,Arterial Street,172.4898475,2015,14000
11AVS14,Arterial Street,345.6450967,2015,9000
11AVS2,Arterial Street,241.7579782,2015,15000
11AVS3,Arterial Street,172.8166928,2015,15000
11AVS4,Arterial Street,346.3069811,2015,18000
11AVS5,Arterial Street,172.665816,2015,17000
11AVS6,Arterial Street,345.8142886,2015,18000
11AVS7,Arterial Street,172.0081483,2015,16000
