year,rating
2008,5
2008,8
2008,8
2008,8
2008,8
2008,5
2008,5
2008,7
2008,10
2008,8
2008,7
2008,6
2008,8
2008,9
2008,8
2008,8
2008,6
2008,9
2008,5
2008,8
2008,8
2008,6
2008,6
2008,8
2008,7
2008,8
2008,7
2008,N/A
2008,8
2008,8
2008,4
2008,6
2008,8
2008,6
2008,5
2008,4
2008,5
2008,9
2008,9
2008,8
2008,8
2008,8
2008,N/A
2008,9
2008,5
2008,6
2008,8
2008,8
2008,6
2008,10
2008,8
2008,9
2008,7
2008,6
2008,8
2008,8
2008,9
2008,7
2008,6
2008,9
2008,8
2008,9
2008,9
2008,8
2008,8
2008,9
2008,9
2008,5
2008,7
2008,7
2008,6
2008,7
2008,7
2008,7
2008,7
2008,6
2008,5
2008,7
2008,1
2008,9
2008,5
2008,9
2008,6
2008,8
2008,7
2008,6
2008,9
2008,8
2008,8
2008,7
2008,8
2008,7
2008,10
2008,8
2008,9
2008,7
2008,7
2008,8
2008,8
2008,7
2008,8
2008,5
2008,8
2008,7
2008,6
2008,6
2008,7
2008,3
2008,5
2008,7
2008,10
2008,8
2008,10
2008,5
2008,7
2008,8
2008,2
2008,1
2008,4
2008,5
2008,7
2008,9
2008,4
2008,7
2008,5
2008,1
2008,8
2008,5
2008,7
2008,8
2008,7
2008,6
2008,9
2008,10
2008,10
2008,10
2008,7
2008,5
2008,7
2008,8
2008,5
2008,6
2008,8
2008,7
2008,8
2008,7
2008,8
2008,6
2008,8
2008,8
2008,9
2008,8
2008,8
2008,8
2008,5
2008,5
2008,7
2008,8
2008,9
2008,10
2008,6
2008,7
2008,4
2008,8
2008,7
2008,7
2008,5
2008,9
2008,4
2008,5
2008,8
2008,9
2008,6
2008,7
2008,5
2008,7
2008,7
2008,10
2008,8
2008,7
2008,7
2008,9
2008,N/A
2008,5
2008,6
2008,4
2008,6
2008,8
2008,5
2008,9
2008,9
2008,5
2008,7
2008,8
2008,6
2008,9
2008,8
2008,7
2008,7
2008,1
2008,7
2008,8
2008,6
2008,8
2008,8
2008,8
2008,8
2008,7
2008,8
2008,10
2008,7
2008,9
2008,7
2008,7
2008,10
2008,7
2008,8
2008,7
2008,9
2008,5
2008,7
2008,7
2008,5
2008,5
2008,5
2008,8
2008,6
2008,8
2008,10
2008,7
2008,7
2008,9
2008,8
2008,6
2008,7
2008,7
2008,8
2008,8
2008,7
2008,6
2008,7
2008,10
2008,8
2008,7
2008,7
2008,6
2008,8
2008,8
2008,6
2008,8
2008,7
2008,5
2008,7
2008,6
2008,7
2008,8
2008,7
2008,5
2008,8
2008,8
2008,10
2008,5
2008,2
2008,7
2008,8
2008,6
2008,8
2008,5
2008,7
2008,8
2008,7
2008,6
2008,8
2008,9
2008,8
2008,7
2008,5
2008,7
2008,9
2008,6
2008,8
2008,8
2008,6
2008,9
2008,8
2008,6
2008,7
2008,7
2008,8
2008,9
2008,8
2008,8
2008,7
2008,1
2008,8
2008,8
2008,8
2008,5
2008,10
2008,8
2008,7
2008,3
2008,8
2008,5
2008,6
2008,5
2008,5
2008,8
2008,9
2008,9
2008,7
2008,8
2008,10
2008,8
2008,7
2008,7
2008,7
2008,6
2008,8
2008,8
2008,8
2008,N/A
2008,6
2008,7
2008,8
2008,8
2008,9
2008,9
2008,7
2008,4
2008,8
2008,9
2008,7
2008,9
2008,7
2008,7
2008,6
2008,10
2008,8
2008,7
2008,7
2008,5
2008,8
2008,7
2008,9
2008,9
2008,7
2008,5
2008,7
2008,8
2008,8
2008,6
2008,4
2008,7
2008,7
2008,9
2008,7
2008,8
2008,8
2008,7
2008,7
2008,7
2008,10
2008,7
2008,8
2008,8
2008,8
2008,7
2008,5
2008,5
2008,8
2008,8
2008,7
2008,4
2008,8
2008,8
2008,7
2008,4
2008,5
2008,9
2008,9
2008,6
2008,8
2008,8
2008,9
2008,1
2008,9
2008,9
2008,7
2008,7
2008,7
2008,10
2008,5
2008,8
2008,6
2008,10
2008,8
2008,8
2008,7
2008,6
2008,8
2008,10
2008,7
2008,9
2008,8
2008,N/A
2008,1
2008,7
2008,9
2008,8
2008,8
2008,9
2008,10
2008,6
2008,9
2008,7
2008,5
2008,8
2008,8
2008,9
2008,8
2008,10
2008,8
2008,7
2008,4
2008,7
2008,8
2008,6
2008,7
2008,8
2008,9
2008,4
2008,7
2008,10
2008,6
2008,4
2008,4
2008,1
2008,5
2008,1
2008,5
2008,7
2008,8
2008,10
2008,9
2008,8
2008,10
2008,10
2008,7
2008,8
2008,8
2008,8
2008,8
2008,10
2008,6
2008,7
2008,7
2008,9
2008,8
2008,8
2008,8
2008,6
2008,7
2008,8
2008,10
2008,9
2008,8
2008,10
2008,8
2008,10
2008,8
2008,10
2008,7
2008,7
2008,10
2008,8
2008,7
2008,8
2008,8
2008,6
2008,8
2008,6
2008,9
2008,8
2008,9
2008,10
2008,9
2008,8
2008,8
2008,8
2008,10
2008,9
2008,8
2008,8
2008,10
2008,7
2008,6
2008,9
2008,N/A
2008,N/A
2009,9
2009,7
2009,8
2009,7
2009,7
2009,8
2009,6
2009,7
2009,8
2009,8
2009,10
2009,8
2009,9
2009,8
2009,8
2009,7
2009,7
2009,8
2009,7
2009,7
2009,7
2009,7
2009,7
2009,8
2009,7
2009,9
2009,5
2009,8
2009,6
2009,5
2009,8
2009,8
2009,8
2009,5
2009,8
2009,10
2009,6
2009,9
2009,7
2009,10
2009,8
2009,9
2009,7
2009,8
2009,7
2009,10
2009,9
2009,5
2009,8
2009,6
2009,8
2009,10
2009,7
2009,7
2009,8
2009,5
2009,6
2009,8
2009,9
2009,7
2009,5
2009,8
2009,7
2009,8
2009,8
2009,8
2009,7
2009,9
2009,10
2009,6
2009,8
2009,8
2009,10
2009,9
2009,8
2009,9
2009,8
2009,8
2009,8
2009,7
2009,8
2009,6
2009,5
2009,5
2009,8
2009,6
2009,8
2009,7
2009,7
2009,8
2009,8
2009,7
2009,7
2009,9
2009,7
2009,6
2009,10
2009,9
2009,8
2009,7
2009,7
2009,10
2009,6
2009,7
2009,8
2009,10
2009,7
2009,9
2009,8
2009,10
2009,7
2009,9
2009,7
2009,7
2009,8
2009,10
2009,10
2009,5
2009,10
2009,7
2009,8
2009,9
2009,8
2009,8
2009,8
2009,8
2009,8
2009,5
2009,10
2009,8
2009,8
2009,7
2009,6
2009,8
2009,10
2009,10
2009,9
2009,9
2009,8
2009,10
2009,9
2009,10
2009,7
2009,10
2009,9
2009,10
2009,8
2009,8
2009,7
2009,9
2009,7
2009,7
2009,8
2009,7
2009,6
2009,9
2009,10
2009,N/A
2009,8
2009,8
2009,9
2009,7
2009,8
2009,8
2009,7
2009,10
2009,8
2009,7
2009,6
2009,9
2009,8
2009,6
2009,4
2009,9
2009,8
2009,9
2009,6
2009,7
2009,7
2009,8
2009,8
2009,10
2009,7
2009,8
2009,9
2009,9
2009,9
2009,6
2009,8
2009,9
2009,7
2009,9
2009,7
2009,10
2009,7
2009,9
2009,6
2009,8
2009,9
2009,7
2009,6
2009,9
2009,8
2009,6
2009,9
2009,7
2009,8
2009,8
2009,8
2009,7
2009,8
2009,9
2009,6
2009,8
2009,6
2009,10
2009,8
2009,8
2009,8
2009,5
2009,8
2009,5
2009,7
2009,6
2009,7
2009,8
2009,8
2009,9
2009,10
2009,9
2009,8
2009,8
2009,4
2009,6
2009,9
2009,7
2009,7
2009,10
2009,7
2009,9
2009,2
2009,8
2009,3
2009,5
2009,7
2009,6
2009,6
2009,8
2009,7
2009,9
2009,9
2009,8
2009,9
2009,9
2009,7
2009,7
2009,10
2009,8
2009,8
2009,8
2009,10
2009,1
2009,10
2009,8
2009,8
2009,8
2009,8
2009,2
2009,9
2009,8
2009,5
2009,8
2009,8
2009,10
2009,7
2009,7
2009,7
2009,5
2009,8
2009,7
2009,8
2009,7
2009,7
2009,8
2009,8
2009,8
2009,7
2009,10
2009,7
2009,8
2009,7
2009,6
2009,8
2009,10
2009,7
2009,8
2009,7
2009,8
2009,8
2009,8
2009,7
2009,6
2009,8
2009,8
2009,9
2009,10
2009,8
2009,10
2009,4
2009,8
2009,7
2009,10
2009,10
2009,8
2009,6
2009,8
2009,5
2009,8
2009,8
2009,10
2009,10
2009,8
2009,7
2009,7
2009,8
2009,8
2009,7
2009,10
2009,7
2009,8
2009,7
2009,8
2009,7
2009,8
2009,8
2009,8
2009,8
2009,6
2009,8
2009,N/A
2009,8
2009,10
2009,6
2009,10
2009,4
2009,8
2009,9
2009,9
2009,7
2009,10
2009,8
2009,8
2009,8
2009,4
2009,6
2009,6
2009,6
2009,8
2009,8
2009,8
2009,8
2009,8
2009,8
2009,8
2009,9
2009,7
2009,8
2009,8
2009,7
2009,5
2009,7
2009,5
2009,7
2009,7
2009,8
2009,7
2009,8
2009,5
2009,7
2009,2
2009,7
2009,8
2009,6
2009,3
2009,10
2009,10
2009,9
2009,4
2009,7
2009,8
2009,7
2009,8
2009,5
2009,10
2009,7
2009,9
2009,7
2009,9
2009,8
2009,10
2009,9
2009,9
2009,8
2009,5
2009,8
2009,6
2009,7
2009,6
2009,8
2009,10
2009,7
2009,8
2009,7
2009,5
2009,8
2009,N/A
2009,10
2009,5
2009,7
2009,4
2009,5
2009,5
2009,7
2009,9
2009,6
2009,8
2009,N/A
2009,6
2009,10
2009,N/A
2009,10
2009,6
2009,9
2009,7
2009,N/A
2009,6
2009,7
2009,8
2009,6
2009,5
2009,7
2009,5
2009,8
2009,2
2009,9
2009,8
2009,7
2009,6
2009,7
2009,6
2009,7
2009,8
2009,5
2009,9
2009,8
2009,7
2009,9
2009,8
2009,8
2009,8
2009,10
2009,6
2009,7
2009,10
2009,8
2009,1
2009,5
2009,10
