idelem,nombre,activo,barrio,utm_x,utm_y,comunidad
724,ALBERTO AGUILERA - BALTASAR GRACIAN,1,Chamberi,439802.0477,4475938.238,Madrid
1466,ALCALA - SAN ROMUALDO,1,San Blas ,447181.7825,4477169.36,Madrid
438,ARROYO DE POZUELO 99,0,Aravaca,433729.4745,4478469.921,Madrid
1467,ASCAO - EMILIO FERRARI,1,Pueblo Nuevo ,445817.4959,4475949.878,Madrid
1471,AVDA. AMERICA - CARTAGENA,1,San Blas,443037.8757,4476937.063,Madrid
832,AVDA. ANDALUCIA - ALCOCER,1,Villaverde,441255.4423,4467117.416,Madrid
542,AVDA. ANDALUCIA - METRO SAN CRISTOBAL,1,Villaverde,441266.4744,4466126.885,Madrid
833,AVDA. ANDALUCIA - UNANIMIDAD,0,Villaverde,441230.8686,4468206.487,Madrid
109,"AVDA. CARDENAL HERRERA ORIA, 83",1,El Pilar ,440699.5103,4482498.001,Madrid
1469,AVDA. CIUDAD BARCELONA - MENENDEZ PELAYO,1,Atocha ,442375.6922,4473043.022,Madrid
834,AVDA. DE CORDOBA - GTA CADIZ,0,Usera,440779.672,4471187.907,Madrid
1474,AVDA. DE LA PESETA - CTRA  BARRIO FORTUNA,1,Carabanchel,435089.9552,4469256.882,Madrid
1546,AVDA. DE LA PESETA - LUIS DE ORO,0,Carabanchel,436811.8099,4468572.934,Madrid
1545,"AVDA. DE LA PESETA, 105",0,Carabanchel,436759.9991,4468528.967,Madrid
1544,"AVDA. DE LA PESETA, 91 - CL DINERO",0,Carabanchel,436464.8234,4468476.974,Madrid
1543,"AVDA. DE LA PESETA, 92",0,Carabanchel,436419.3977,4468435.562,Madrid
436,"AVDA. DE LOS POBLADOS, 45",1,Carabanchel,435625.1432,4470868.75,Madrid
539,"AVDA. FILIPINAS, 18",1,Vallehermoso ,439884.1688,4477054.816,Madrid
541,AVDA. ILUSTRACION - BETANZOS,1,El Pilar ,439754.0676,4481542.65,Madrid
536,"AVDA. LOGROÑO, 44",1,Barajas,449773.1894,4479216.155,Madrid
1465,AVDA. MARQUES CORBERA - RICARDO ORTIZ,1,Pueblo Nuevo ,444464.9538,4475106.018,Madrid
769,"AVDA. MEDITERRANEO, 32",1,Atocha ,442995.1915,4473348.817,Madrid
437,AVDA. POBLADOS ESQ ABRANTES F 134,0,Carabanchel,437645.4342,4469730.357,Madrid
535,"CAMINO DE LOS VINATEROS, 47",1,Moratalaz,444553.4825,4473759.003,Madrid
718,CARDENAL HERRERA ORIA - LA MASO“,1,El Pilar ,439610.2398,4481850.247,Madrid
1547,CEA BERMUDEZ - VALLEHERMOSO,1,Vallehermoso ,440005.0527,4476917.274,Madrid
1472,CNO BARRIAL - FDO LAZARO CARRETER,1,Aravaca,432850.3669,4479575.82,Madrid
1473,CTRA. CARABANCHEL ARAVACA - VILLAVICIOSA,1,Carabanchel,434397.3029,4472312.577,Madrid
722,FRANCISCO PI Y MARGALL ESQ. ANA DE AUSTRIA,1,Sanchinarro,444201.4523,4482672.029,Madrid
770,"FRANCISCO SILVELA, 62",1,Barrio Salamanca,442856.036,4476488.386,Madrid
720,FUENTE CARRANTONA - HACIENDA PAVONES,1,Moratalaz,446104.0126,4472612.569,Madrid
1475,GRAL RICARDOS - PSO QUINCE DE MAYO,1,Carabanchel,439232.87,4472262.784,Madrid
220,"HERMANOS GARCIA NOBLEJAS, 123",1,San Blas ,447068.5387,4474806.6,Madrid
728,JOAQUIN COSTA - VELAZQUEZ,1,San Blas,442175.511,4477326.0,Madrid
1468,JOSE ABASCAL - SANTA ENGRACIA,1,Vallehermoso ,440641.2019,4476871.768,Madrid
768,MENENDEZ PELAYO - NIÑO JESUS,1,Atocha ,442623.9475,4474210.599,Madrid
140,MONFORTE DE LEMOS - FINISTERRE,1,El Pilar ,440583.8452,4481460.377,Madrid
618,O'DONNELL CARRIL CENTRAL,1,Barrio Salamanca,443425.2624,4474912.937,Madrid
439,"PO CASTELLANA, 105",1,Chamartin,441555.6718,4478658.033,Madrid
545,"PO CASTELLANA, 167",1,Chamartin,441624.3683,4479491.712,Madrid
746,SINESIO DELGADO GTA P. CEBRERO,1,El Pilar ,439824.6063,4480513.914,Madrid
538,"VENTISQUERO DE LA CONDESA, 42",1,El Pilar ,439312.0246,4483051.503,Madrid
727,VIA LUSITANA - AGUACATE,0,Carabanchel,437153.7204,4468958.764,Madrid
734,VIA LUSITANA - PL FERNANDEZ LADREDA,1,Carabanchel,439132.5335,4470910.903,Madrid
