nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"SANITAS AGENCIA NORTE 25796","CL MARQUES DE LA VALDAVIA (D 90 -LOCAL 1","28100","EJE VALDAVIA ESPAÑA","916525400","NO DISPONIBLE","jgonzalezal.pex@sanitas.es","NO DISPONIBLE","JESUS GONZALEZ ALVAREZ","SALUD Y BELLEZA","SEGUROS DE SALUD","",40.54550101,-3.64438664
"2000 MODA","CL FUEGO (DEL) 41","28100","Z.C. CONSTITUCION","916514829 / 619893723","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JIAN QIU LI","MODA Y COMPLEMENTOS","ROPA, COMPLEMENTOS Y BOLSOS","",40.54420066,-3.63544346
"221B DETECTIVES PRIVADOS","CL BACHILLER ALONSO LOPEZ (D 9 - 4º D","28100","OTRAS ZONAS","650779055","NO DISPONIBLE","dp221b@hotmail.com","NO DISPONIBLE","MARIA JESUS","SERVICIOS","DETECTIVES PRIVADOS","",40.54497875,-3.63375259
"5 ELEMENTOS","AV VALDELAPARRA (DE) 76","28100","OTRAS ZONAS","914902848","NO DISPONIBLE","5elementos5e@gmail.com","www.5elementos-5e.com","ELENA","SALUD Y BELLEZA","CENTO DE ESTETICA","",40.54203493,-3.66090545
"A + G INGENIEROS","AV MADRID (DE) 39 - 2º 4","28100","OTRAS ZONAS","916547665 / 616145334","916547665","jose.agingenieros@gmail.com","NO DISPONIBLE","JOSE ANTONIO GRANDA TOME","SERVICIOS","CONSULTING DE INGENIERIA: JARDINERIA Y MEDIO AMBIENTE, PROYECTOS AGROINDUSTRIALES, TASACIONES, EXPROPIACIONES TESTAMENTARIAS.","",40.55098158,-3.63913425
"A LO LOCO MARKET.COM","CR FUENCARRAL (DE) 44 - C.P. TRIBECA","28108","OTRAS ZONAS","673570883 / 630042574","NO DISPONIBLE","adrianabn@alolocomarket.com","NO DISPONIBLE","ADRIANA BAIZ NUÑEZ","MODA Y COMPLEMENTOS","VENTA ON LINE DE MODA CASUAL Y COLORISTA. EDICIONES LIMITADAS","",40.51888227,-3.65470622
"A TU AIRE PELUQUEROS","CL MARQUESA VIUDA DE ALDAMA 46","28100","LAS TIENDAS DEL CENTRO","916518879","NO DISPONIBLE","NO DISPONIBLE","www.atuairepeluqueros.com","ARANZAZO IZQUIERDO","SALUD Y BELLEZA","PELUQUERIA DE SEÑORAS Y CABALLEROS","",40.54239949,-3.63047851
"A TU AIRE PELUQUEROS","CL CONSTITUCION (DE LA) 33","28100","Z.C. CONSTITUCION","916522039","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JUAN JOSE GONZALEZ VELAZQUEZ","SALUD Y BELLEZA","PELUQUERIA DE SEÑORAS Y CABALLEROS","",40.54224379,-3.63602850
"A TU AIRE PELUQUEROS","CL RUPERTO CHAPI (DE) 10","28100","EJE VALDAVIA ESPAÑA","916522311/916539594","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","SALUD Y BELLEZA","PELUQUERIA","",40.54762257,-3.64506763
"A. MORENO","CL PIO BAROJA (DE) 8","28100","OTRAS ZONAS","609064885","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANTONIA MORENO","MODA Y COMPLEMENTOS","CONFECCION SEÑORA Y CABALLERO","",40.54143093,-3.63364930
"A.D.M. ASESORES","CL ESCORIAL (DEL) 132 - BAJO","28100","OTRAS ZONAS","916639177","916546254","NO DISPONIBLE","NO DISPONIBLE","OLGA LUZ RUBIO MATEOS","SERVICIOS","ASESORIA FISCAL, LABORAL Y CONTABLE","",40.55020403,-3.63917026
"AB CLUB DEL VIAJE VALDAVIA TOURS","CL MARQUES DE LA VALDAVIA (D 137","28100","EJE VALDAVIA ESPAÑA","916620055","916623743","valdaviatours@abclubdelviaje.es","www.abclubdelviaje.es","BEATRIZ BORREGO RAMIREZ","SERVICIOS","AGENCIA DE VIAJES","",40.54730341,-3.65882197
"ABA ADMINISTRACION INTEGRAL DE FINCAS","CL NUESTRA SRA DEL PILAR (DE 4 - 1º, OFICINA  5","28100","OTRAS ZONAS","916638327","916519125","f.martinj@cafmadrid.es","NO DISPONIBLE","MAYTE ALVAREZ LUZURIAGA","SERVICIOS","ADMINISTRACION DE FINCAS. ASESORIA FISCAL","",40.54209969,-3.63287075
"ABALORIOS","CL MARQUES DE LA VALDAVIA (D 119","28100","EJE VALDAVIA ESPAÑA","916626986 / 606283271","NO DISPONIBLE","candelasrg@gmail.com","NO DISPONIBLE","CANDELAS RECIO","MODA Y COMPLEMENTOS","COMPLEMENTOS","",40.54685679,-3.65591868
"ABEL OPTICOS","CL MARQUESA VIUDA DE ALDAMA 3","28100","LAS TIENDAS DEL CENTRO","915431295 / 639140515 / 916546774","NO DISPONIBLE","jorge@optiwin.com","www.abelopticos.com","JORGE PALOMINO","SALUD Y BELLEZA","OPTICA, GAFAS DE SOL Y AUDIOLOGIA","",40.54114963,-3.63346691
"ABEL OPTICOS","CL CONSTITUCION (DE LA) 40","28100","Z.C. CONSTITUCION","915431295 / 639140515 / 916546774","NO DISPONIBLE","jorge@optiwin.com","www.abelopticos.com","JORGE PALOMINO","SALUD Y BELLEZA","OPTICA, GAFAS DE SOL Y AUDIOLOGIA","",40.54267753,-3.63675683
"ABEL PELUQUEROS","CL ARCE (DEL) 7","28100","EJE VALDAVIA ESPAÑA","916540505","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ABEL RODRIGUEZ ALONSO","SALUD Y BELLEZA","PELUQUERIA DE CABALLEROS","",40.54604285,-3.64119081
"ABILIO RUANO CALVO","CL OBISPO EIJO GARAY (DEL) 1","28100","OTRAS ZONAS","916537719","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ABILIO RUANO","CONSTRUCCION Y REFORMA","TALLA EN MADERA","",40.54444370,-3.63697007
"ABOGADA ROCIO VACAS MUÑOZ","CL RUPERTO CHAPI (DE) 11 - LOCAL 5","28100","EJE VALDAVIA ESPAÑA","916522805 / 607671343","916521966","rociovacas@hotmail.com","NO DISPONIBLE","ROCIO O RUTH","SERVICIOS","ABOGADOS FAMILIA Y LABORAL","",40.54795289,-3.64511111
"ABOGADO","CL CONSTITUCION (DE LA) 3 - 1º B","28100","Z.C. CONSTITUCION","916518090 / 654700168","NO DISPONIBLE","flores324@hotmail.com","NO DISPONIBLE","INDALECIO PALACIOS FLORES","SERVICIOS","ABOGADO","",40.54133114,-3.63415546
"ABOGADO GONZALEZ-ZUAZO","CL CAMINO ANCHO (DEL) 66","28109","OTRAS ZONAS","916500617","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","SERVICIOS","DESPACHO DE ABOGADOS","",40.51820256,-3.61905633
"ABOGADOS","AV ZAPORRA (DE LA) 31","28100","OTRAS ZONAS","916638765","916638765","NO DISPONIBLE","NO DISPONIBLE","MERCEDES AGUILAR RODRIGUEZ","SERVICIOS","LABORAL, CIVIL, MATRIMONIAL Y PENAL","",40.54872367,-3.64248138
"ABOGADOS","CL CONSTITUCION (DE LA) 3 - 1º 1","28100","Z.C. CONSTITUCION","912930408 / 687536197","916515731","anaoterogonzalez@hotmail.com","NO DISPONIBLE","ANA MARIA OTERO GONZALEZ","SERVICIOS","ABOGADOS","",40.54133114,-3.63415546
"ABRASIVOS BENITEZ","PJ RADIO (DE LA) 4","28100","LAS TIENDAS DEL CENTRO","916531778 / 622313578","912417883","info@abrasivosypulimentosbenitez.com","www.abrasivosypulimentos.com","BENITEZ MOLINA, MARI CARMEN","CONSTRUCCION Y REFORMA","MARMOL Y GRANITO","",40.54129592,-3.63093764
"ACADEMIA ADES","CL MARQUES DE LA VALDAVIA (D 95 - ACCESO POR DOCTOR SEVERO OCHOA","28100","EJE VALDAVIA ESPAÑA","697531420 / 627402027","NO DISPONIBLE","ades.academia@gmail.com","NO DISPONIBLE","VICTORIA MARTINEZ CARRERO","SERVICIOS","ACADEMIA DE ENSEÑANZA Y SEGURIDAD","",40.54609501,-3.65108973
"ACADEMIA BARROW","CL FUEGO (DEL) 48","28100","Z.C. CONSTITUCION","912291519 / 607036289","NO DISPONIBLE","contacta@academiabarrow.es","NO DISPONIBLE","FRANCISCO JOSE MUÑOZ MOÑINO","SERVICIOS","ACADEMIA: ESO,  BACHILLER Y SELECTIVIDAD","",40.54530337,-3.63524525
