Nombre,Temas,Subtemas,Tipos,Subtipos,Subsubtipos,Perfiles,País,Provincia,Municipio,Distrito,Calle,Número,Bloque,Portal,Escalera,Planta,Puerta,Localidad,C.P.,Georreferenciación,Coordenada X (UTM),Coordenada Y (UTM),Coordenada X,Coordenada Y,CIF,Teléfono,Fax,Email,Web,Texto
"Parada autobús AVENIDA DE BARAJAS - ARROYO DE LA VEGA","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BARAJAS DE","1","","","","","","Alcobendas","","center=40.5374248013697,-3.623757142431126&info=Parada autobús AV.BARAJAS - ARROYO DE LA VEGA",447175.87000006455,4487595.78,40.5374248013697,-3.623757142431126,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_6447706335234"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas urbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2246"">L-2. Alcobendas-La Moraleja</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2248"">L-5. San Sebasti&aacute;n de los Reyes-Alcobendas-Soto de la Moraleja</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2251"">L-9. Estaci&oacute;n FFCC.-Arroyo de la Vega</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">C-10. L&iacute;nea Circular</a></li></ul><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada</h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827. Madrid (Canillejas)-T4-S.S Reyes-Alcobendas-Univ. Aut&oacute;noma-Tres Cantos</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2276"">828. Universidad Aut&oacute;noma-Alcobendas-T4-Recintos Feriales-Canillejas</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2277"">N-101. (L&iacute;nea Nocturna). Madrid (Plaza de Castilla) - Alcobendas</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2278"">N-102. (L&iacute;nea Nocturna). Madrid-S.S. Reyes</a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BARAJAS - HOTEL","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BARAJAS DE","(Hotel)","","","","","","Alcobendas","","center=40.533962634419844,-3.6200848991661254&info=Parada autobús AV. BARAJAS - HOTEL",447484.1600000619,4487209.280000001,40.533962634419844,-3.6200848991661254,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_3081180201950"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827. Madrid (Canillejas)-T4-S.S Reyes-Alcobendas-Univ. Aut&oacute;noma-Tres Cantos</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2276"">828. Universidad Aut&oacute;noma-Alcobendas-T4-Recintos Feriales-Canillejas</a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BARAJAS - PARQUE DE BOMBEROS","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BARAJAS DE","","","","","","","Alcobendas","","center=40.535052626730334,-3.620855245566946&info=Parada autobús AV.BARAJAS - PARQUE BOMBEROS",447419.7700000624,4487330.729999999,40.535052626730334,-3.620855245566946,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_826047734962"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827. Madrid (Canillejas)-T4-S.S Reyes-Alcobendas-Univ. Aut&oacute;noma-Tres Cantos</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2276"">828. Universidad Aut&oacute;noma-Alcobendas-T4-Recintos Feriales-Canillejas</a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BARAJAS - URBANIZACIÓN FUENTEHITO","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BARAJAS DE","4","","","","","","Alcobendas","","center=40.536226394895635,-3.6230976560952044&info=Parada autobús AV.BARAJAS - URB. FUENTEHITO",447230.78000006406,4487462.3599999985,40.536226394895635,-3.6230976560952044,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_8784681541257"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827. Madrid (Canillejas)-T4-S.S Reyes-Alcobendas-Univ. Aut&oacute;noma-Tres Cantos</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2276"">828. Universidad Aut&oacute;noma-Alcobendas-T4-Recintos Feriales-Canillejas</a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BRUSELAS - CALLE DE FRANCISCA DELGADO","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BRUSELAS DE","6","","","","","","Alcobendas","","center=40.53115960359786,-3.6323533471332405&info=Parada autobús AVENIDA DE BRUSELAS - CALLE DE FRANCISCA DELGADO",446442.890000071,4486905.519999999,40.53115960359786,-3.6323533471332405,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_4539702777334"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas urbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2251"">L-9.&nbsp;&nbsp;Estaci&oacute;n FFCC.-Arroyo de la Vega</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2253"">C-11. L&iacute;nea Circular</a></li></ul><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada:</h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2265"">159. Madrid-Alcobendas (Avenida de la Vega)</a> </li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2278"">N-102. (L&iacute;nea Nocturna). Madrid-S.S. Reyes </a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BRUSELAS - CALLE DE LA CALÉNDULA (Área sanitaria 5)","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BRUSELAS DE","Frente a nº 37","","","","","","Alcobendas","","center=40.528155880147075,-3.643251860682601&info=Parada autobús AV. BRUSELAS-C/CALÉNDULA",445517.4027000801,4486578.7799,40.528155880147075,-3.643251860682601,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_5015457217285"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;nes urbanas que efect&uacute;an parada:<br /></h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2251"">L-9. Estaci&oacute;n FFCC.-Arroyo de la Vega</a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BRUSELAS - CALLE DE LA SALVIA","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BRUSELAS DE","5","","","","","","Alcobendas","","center=40.53091314512931,-3.632332375342599&info=Parada autobús AVENIDA DE BRUSELAS - CALLE DE LA SALVIA",446444.470000071,4486878.1499999985,40.53091314512931,-3.632332375342599,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_4216818527683"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas urbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2251"">L-9.&nbsp;&nbsp;Estaci&oacute;n FFCC.-Arroyo de la Vega</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">C-10. L&iacute;nea Circular</a></li></ul><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada:</h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2265"">159. Madrid-Alcobendas (Avenida de la Vega)</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2277"">N-101.&nbsp;(L&iacute;nea Nocturna). Madrid (Plaza de Castilla) - Alcobendas</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2278"">N-102. (L&iacute;nea Nocturna). Madrid-S.S. Reyes </a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BRUSELAS - CENTRO DE OCIO DIVERSIA (impares)","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BRUSELAS DE","29","","","","","","Alcobendas","","center=40.530496036464385,-3.640152291245304&info=Parada autobús AV.BRUSELAS-DIVERSIA",445781.8200000774,4486836.63,40.530496036464385,-3.640152291245304,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_8443038671187"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas urbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2251"">L-9.&nbsp;&nbsp;Estaci&oacute;n FFCC.-Arroyo de la Vega</a></li></ul><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada:</h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2265"">159. Madrid-Alcobendas (Avenida de la Vega)</a> </li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2277"">N101. (L&iacute;nea Nocturna). Madrid (Plaza de Castilla) - Alcobendas</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2278"">N-102. (L&iacute;nea Nocturna). Madrid-S.S. Reyes </a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BRUSELAS - CENTRO DE OCIO DIVERSIA (pares)","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BRUSELAS DE","26","","","","","","Alcobendas","","center=40.530737953219806,-3.6402285047570926&info=Parada autobús AV.BRUSELAS-DIVERSIA",445775.5600000775,4486863.530000002,40.530737953219806,-3.6402285047570926,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_1450050425196"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas urbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2251"">L-9.&nbsp;&nbsp;Estaci&oacute;n FFCC.-Arroyo de la Vega</a></li></ul><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada:</h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2265"">159. Madrid-Alcobendas (Avenida de la Vega)</a> </li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2278"">N-102. (L&iacute;nea Nocturna). Madrid-S.S. Reyes </a></li></ul></div></div><!--fin fichaterritoriales-->"
"Parada autobús AVENIDA DE BRUSELAS - CENTRO EMPRESARIAL (impares)","Transporte y Tráfico","Otros Transporte y Tráfico","Tráfico, Transportes y Aparcamientos","Transportes","","","España","Madrid","Alcobendas",,"AV BRUSELAS DE","33","","","","","","Alcobendas","","center=40.52950364028204,-3.6420316861149953&info=Parada autobús AVENIDA DE BRUSELAS - CENTRO EMPRESARIAL (impares)",445621.8400000791,4486727.630000001,40.52950364028204,-3.6420316861149953,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_8281023503029"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div style=""width: 100%; margin-left: 25px""><h5 class=""tipo1"">L&iacute;neas urbanas que efect&uacute;an parada: </h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2251"">L-9.&nbsp;&nbsp;Estaci&oacute;n FFCC.-Arroyo de la Vega</a></li></ul><h5 class=""tipo1"">L&iacute;neas interurbanas que efect&uacute;an parada:</h5><ul class=""tipo1"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2265"">159. Madrid-Alcobendas (Avenida de la Vega)</a> </li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2277"">N101. (L&iacute;nea Nocturna). Madrid (Plaza de Castilla) - Alcobendas</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2278"">N-102. (L&iacute;nea Nocturna). Madrid-S.S. Reyes </a></li></ul></div></div><!--fin fichaterritoriales-->"
